signal,outcome,horizon,n_days,mean_ic,abs_ic,t_stat,sign_stable,pass_g1,pass_bonf,ic_NIFTY,t_NIFTY,n_NIFTY,ic_SENSEX,t_SENSEX,n_SENSEX,ic_NIFTY_2026-04,ic_NIFTY_2026-05,ic_NIFTY_2026-06,ic_NIFTY_2026-07,ic_NIFTY_2026-08,ic_SENSEX_2026-04,ic_SENSEX_2026-05,ic_SENSEX_2026-06,ic_SENSEX_2026-07,ic_SENSEX_2026-08
pcr_oi_atm5,fabs,60,162,0.0131,0.0131,0.67,0,0,0,0.0069,0.24,81,0.0193,0.73,81,-0.0972,-0.0314,-0.016,0.0147,0.1103,-0.0442,-0.002,0.021,0.0673,-0.015
mp_drift_30,fdprem,5,160,0.013,0.013,1.5,0,0,0,0.0213,1.83,79,0.0049,0.38,81,0.0578,0.0633,0.0034,0.0038,0.0074,0.0248,0.0128,0.0281,-0.0233,0.0002
doi_pe_5,fret,30,162,0.0129,0.0129,0.87,0,0,0,0.0178,0.84,81,0.0081,0.39,81,0.1761,-0.0071,0.0973,0.0046,-0.091,0.1301,-0.0025,0.0503,0.0302,-0.1122
doi_pe_15,fabs,5,162,0.0129,0.0129,1.58,0,0,0,0.0086,0.77,81,0.0173,1.44,81,-0.0095,0.0408,-0.0024,-0.0301,0.0501,0.0195,0.0443,0.0061,-0.0293,0.0733
doi_pe_30,fret,5,162,-0.0128,0.0128,-1.33,0,0,0,-0.0086,-0.65,81,-0.017,-1.22,81,0.0952,-0.013,0.0275,-0.0218,-0.0646,0.0622,0.0055,0.0056,-0.0232,-0.094
doi_pe_15,fret,15,162,0.0127,0.0127,0.86,0,0,0,0.0192,0.95,81,0.0062,0.29,81,0.1618,0.0206,0.0599,0.0147,-0.0772,0.0736,0.026,0.0366,0.024,-0.1145
skew,fabs,5,128,-0.0126,0.0126,-1.26,0,0,0,-0.0155,-1.1,64,-0.0097,-0.67,64,-0.044,-0.0096,-0.0212,-0.038,0.0317,-0.0221,0.0161,-0.0397,-0.0326,0.0426
wall_squeeze,fabs,30,156,0.0123,0.0123,0.68,0,0,0,0.0338,1.36,79,-0.0098,-0.38,77,0.1308,0.1082,0.0506,-0.012,-0.0426,-0.0887,0.0274,-0.0569,0.0651,-0.077
pcr_oi_atm10,fdprem,15,162,-0.012,0.012,-0.84,0,0,0,-0.0077,-0.38,81,-0.0163,-0.8,81,0.0424,0.0095,0.0332,-0.046,-0.0435,-0.0003,0.0185,0.0039,-0.0443,-0.0523
doi_ce_30,fdprem,5,162,0.012,0.012,1.32,0,0,0,0.0191,1.56,81,0.0049,0.37,81,-0.0207,-0.0008,-0.0055,0.0426,0.056,-0.0162,0.0047,-0.0042,0.0097,0.017
doi_pe_5,fret,15,162,0.0119,0.0119,0.97,0,0,0,0.0209,1.22,81,0.0029,0.16,81,0.1723,-0.0088,0.0597,0.0382,-0.0686,0.0423,-0.0146,0.019,0.051,-0.088
d_prem_15,fret,60,162,-0.0119,0.0119,-0.69,0,0,0,-0.0209,-0.86,81,-0.003,-0.12,81,0.0726,-0.0592,0.0165,-0.0729,0.034,0.098,-0.0122,0.0266,-0.0657,0.0395
doi_ce_15,fabs,60,162,0.0114,0.0114,0.64,0,0,0,0.0135,0.56,81,0.0094,0.36,81,-0.0359,-0.018,-0.0205,0.059,0.0466,0.0234,-0.0305,-0.0338,0.0632,0.0361
doi_ce_30,fabs,60,162,-0.0113,0.0113,-0.56,0,0,0,-0.0091,-0.33,81,-0.0135,-0.46,81,0.0291,-0.0665,-0.0381,0.0104,0.0695,0.0108,-0.0606,-0.049,0.0066,0.0637
wall_squeeze,fabs,60,156,0.0106,0.0106,0.48,0,0,0,0.0008,0.02,79,0.0206,0.69,77,0.1153,0.0557,0.0328,-0.0369,-0.0879,-0.1278,0.0998,-0.0072,0.0674,-0.0592
doi_atm_15,fabs,5,162,0.0105,0.0105,1.54,0,0,0,0.0061,0.64,81,0.0149,1.53,81,0.0162,0.0037,-0.0022,-0.0096,0.0444,0.0886,0.0108,-0.0019,0.0057,0.0398
doi_pe_15,fdprem,5,162,-0.0101,0.0101,-1.16,0,0,0,-0.016,-1.38,81,-0.0043,-0.32,81,0.0684,-0.0127,-0.0142,-0.0361,-0.0143,0.1175,0.0062,-0.0012,-0.0077,-0.0522
mp_drift_30,fabs,30,160,-0.0101,0.0101,-0.63,0,0,0,-0.0173,-0.71,79,-0.0031,-0.15,81,0.0975,-0.0312,0.0205,-0.0642,-0.0141,0.0632,-0.0291,0.0117,-0.0448,0.0594
d_prem_15,fret,15,162,-0.01,0.01,-0.76,0,0,0,-0.0175,-0.92,81,-0.0025,-0.14,81,0.0603,-0.0362,0.0058,-0.0776,0.0495,0.1048,-0.0359,0.0122,-0.0516,0.0705
d_pcr_oi_atm5_15,fdprem,15,162,0.0099,0.0099,0.92,0,0,0,0.0168,1.12,81,0.0029,0.19,81,0.065,0.0576,0.0154,0.0215,-0.0577,0.1367,0.0381,-0.0241,0.0005,-0.0386
wall_squeeze,fabs,15,156,0.0099,0.0099,0.71,0,0,0,0.0257,1.34,79,-0.0064,-0.32,77,0.0608,0.0648,0.0276,0.0208,-0.0319,-0.0648,0.0075,-0.0396,0.0656,-0.0688
pcr_vol_all,fabs,15,162,0.0096,0.0096,0.7,0,0,0,0.0136,0.66,81,0.0055,0.31,81,-0.1285,0.0764,-0.0171,0.0635,-0.0667,-0.0709,0.0412,0.0068,0.0253,-0.0559
doi_atm_15,fabs,15,162,0.0096,0.0096,1.04,0,0,0,0.012,0.92,81,0.0073,0.56,81,0.0394,0.0116,-0.0258,0.008,0.0679,0.1003,0.007,-0.0059,-0.0202,0.0462
d_pcr_oi_atm5_15,fret,60,162,0.0095,0.0095,0.74,0,0,0,-0.0038,-0.21,81,0.0227,1.27,81,0.1642,0.0331,0.0145,-0.0432,-0.0646,0.1365,0.0478,0.0053,-0.035,0.0772
d_pcr_oi_all_15,fabs,30,162,-0.0094,0.0094,-0.61,0,0,0,-0.0081,-0.36,81,-0.0106,-0.5,81,0.1265,-0.0122,0.0179,-0.0919,0.0574,0.1325,-0.0136,0.0234,-0.1085,0.0623
doi_wing_15,fabs,15,162,0.0094,0.0094,0.94,0,0,0,0.0157,1.07,81,0.003,0.22,81,0.0275,0.0075,-0.0353,0.0452,0.0516,0.0036,-0.0055,-0.0249,0.0375,-0.0004
doi_pe_5,fabs,30,162,0.0093,0.0093,0.82,0,0,0,0.0138,0.88,81,0.0049,0.3,81,0.1272,-0.0016,0.0041,-0.0245,0.0795,0.1061,0.006,-0.0054,-0.0506,0.0814
doi_ce_15,fabs,30,162,0.0092,0.0092,0.61,0,0,0,0.0119,0.55,81,0.0064,0.31,81,-0.0591,0.0035,-0.0389,0.0798,0.0084,-0.0524,-0.009,-0.0465,0.0709,0.0174
