venue,trigger,action,n,fired_pct,mean,t,diff_vs_hold,t_diff,random_diff,beats_random,win,med,p05,worst,best
NIFTY,doi_atm_15<-0.02,STOP13,84,96.4,621.7,1.98,338.9,1.58,322.0,1,65.5,1173.8,-5073.7,-7050.0,9228.8
SENSEX,doi_atm_15<-0.02,STOP13,84,96.4,-112.6,-0.7,-306.3,-2.22,-207.3,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,doi_atm_15<-0.02,STOP13,168,96.4,254.6,1.43,16.3,0.13,57.3,0,63.1,592.5,-3697.5,-7050.0,9228.8
NIFTY,doi_atm_15<-0.05,EXIT_ALL,84,96.4,-73.8,-0.51,-356.7,-0.9,-212.8,0,53.6,176.2,-2055.0,-5152.5,3543.8
SENSEX,doi_atm_15<-0.05,EXIT_ALL,84,96.4,-124.5,-1.89,-318.2,-1.73,-233.6,0,48.8,-6.0,-1430.0,-2252.0,977.0
BOTH,doi_atm_15<-0.05,EXIT_ALL,168,96.4,-99.2,-1.24,-337.4,-1.55,-223.2,0,51.2,7.5,-1770.0,-5152.5,3543.8
NIFTY,doi_atm_15<-0.05,EXIT_LEG,84,96.4,-780.4,-1.68,-1063.2,-1.92,-574.5,0,46.4,-176.3,-10252.5,-16320.0,7278.7
SENSEX,doi_atm_15<-0.05,EXIT_LEG,84,96.4,-454.7,-2.3,-648.4,-2.56,-335.2,0,45.2,-160.0,-4189.5,-6359.5,2449.0
BOTH,doi_atm_15<-0.05,EXIT_LEG,168,96.4,-617.5,-2.45,-855.8,-2.82,-454.9,0,45.8,-160.0,-6930.0,-16320.0,7278.7
NIFTY,doi_atm_15<-0.05,STOP12,84,96.4,345.2,1.09,62.4,0.21,57.1,1,64.3,1102.5,-5152.5,-6735.0,8613.8
SENSEX,doi_atm_15<-0.05,STOP12,84,96.4,-63.1,-0.46,-256.8,-1.81,-192.2,0,59.5,360.5,-2252.0,-3393.5,2627.5
BOTH,doi_atm_15<-0.05,STOP12,168,96.4,141.0,0.82,-97.2,-0.59,-67.5,0,61.9,572.0,-4368.7,-6735.0,8613.8
NIFTY,doi_atm_15<-0.05,STOP13,84,96.4,621.7,1.98,338.9,1.58,263.6,1,65.5,1173.8,-5073.7,-7050.0,9228.8
SENSEX,doi_atm_15<-0.05,STOP13,84,96.4,-115.8,-0.72,-309.4,-2.24,-217.4,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,doi_atm_15<-0.05,STOP13,168,96.4,253.0,1.42,14.7,0.11,23.1,0,63.1,592.5,-3697.5,-7050.0,9228.8
NIFTY,abs_doi_atm_15>0.05,EXIT_ALL,84,96.4,-369.7,-3.84,-652.6,-1.58,-188.3,0,34.5,-273.8,-1728.8,-3978.7,956.3
SENSEX,abs_doi_atm_15>0.05,EXIT_ALL,84,96.4,-216.0,-5.79,-409.7,-2.34,-210.4,0,25.0,-160.0,-991.0,-1294.0,421.0
BOTH,abs_doi_atm_15>0.05,EXIT_ALL,168,96.4,-292.9,-5.66,-531.2,-2.37,-199.4,0,29.8,-217.5,-1436.3,-3978.7,956.3
NIFTY,abs_doi_atm_15>0.05,EXIT_LEG,84,96.4,-334.3,-0.76,-617.1,-1.12,-515.0,0,46.4,-67.5,-9843.8,-15528.8,6045.0
SENSEX,abs_doi_atm_15>0.05,EXIT_LEG,84,96.4,-129.5,-0.7,-323.2,-1.29,-301.7,0,48.8,-52.5,-3367.0,-5653.5,3005.0
BOTH,abs_doi_atm_15>0.05,EXIT_LEG,168,96.4,-231.9,-0.98,-470.2,-1.56,-408.3,0,47.6,-67.5,-5340.0,-15528.8,6045.0
NIFTY,abs_doi_atm_15>0.05,STOP12,84,96.4,353.1,1.14,70.2,0.22,117.8,0,63.1,1102.5,-4695.0,-6735.0,8613.8
SENSEX,abs_doi_atm_15>0.05,STOP12,84,96.4,-43.1,-0.32,-236.8,-1.69,-193.2,0,59.5,360.5,-2252.0,-3393.5,2627.5
BOTH,abs_doi_atm_15>0.05,STOP12,168,96.4,155.0,0.92,-83.3,-0.48,-37.7,0,61.3,547.0,-4020.0,-6735.0,8613.8
NIFTY,abs_doi_atm_15>0.05,STOP13,84,96.4,652.3,2.12,369.5,1.64,282.9,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,abs_doi_atm_15>0.05,STOP13,84,96.4,-110.1,-0.68,-303.8,-2.2,-226.9,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,abs_doi_atm_15>0.05,STOP13,168,96.4,271.1,1.55,32.8,0.24,28.0,1,63.1,592.5,-3678.7,-7050.0,9228.8
NIFTY,wall_near<0.001,EXIT_ALL,84,89.3,2.8,0.03,-280.0,-0.67,-99.6,0,38.1,-93.8,-1173.7,-1728.8,2775.0
SENSEX,wall_near<0.001,EXIT_ALL,84,86.9,-134.6,-1.38,-328.2,-2.29,-203.3,0,35.7,-115.5,-1595.5,-3842.0,2915.5
BOTH,wall_near<0.001,EXIT_ALL,168,88.1,-65.9,-1.03,-304.1,-1.38,-151.5,0,36.9,-108.0,-1355.5,-3842.0,2915.5
NIFTY,wall_near<0.001,EXIT_LEG,84,89.3,-356.5,-0.7,-639.4,-1.28,-512.8,0,52.4,536.3,-7050.0,-22717.5,6311.3
SENSEX,wall_near<0.001,EXIT_LEG,84,86.9,-18.2,-0.09,-211.9,-0.98,-294.0,1,57.1,148.0,-3460.0,-6459.0,3045.0
BOTH,wall_near<0.001,EXIT_LEG,168,88.1,-187.4,-0.69,-425.6,-1.57,-403.4,0,54.8,162.5,-5988.8,-22717.5,6311.3
NIFTY,wall_near<0.001,STOP12,84,89.3,374.6,1.22,91.8,0.29,53.3,1,63.1,1102.5,-4695.0,-6735.0,8613.8
SENSEX,wall_near<0.001,STOP12,84,86.9,-32.5,-0.21,-226.2,-1.88,-173.4,0,60.7,404.0,-2581.0,-3842.0,3628.5
BOTH,wall_near<0.001,STOP12,168,88.1,171.1,1.0,-67.2,-0.4,-60.1,0,61.9,572.0,-4020.0,-6735.0,8613.8
NIFTY,wall_near<0.001,STOP13,84,89.3,661.9,2.16,379.1,1.69,251.6,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,wall_near<0.001,STOP13,84,86.9,-106.4,-0.65,-300.1,-2.42,-186.1,0,60.7,404.0,-3163.0,-3842.0,3628.5
BOTH,wall_near<0.001,STOP13,168,88.1,277.8,1.58,39.5,0.3,32.8,1,63.1,592.5,-3678.7,-7050.0,9228.8
NIFTY,abs_mp_drift_15>0.001,EXIT_ALL,84,94.0,-212.2,-1.79,-495.0,-1.2,-169.1,0,42.9,-217.5,-1803.7,-3978.7,3626.2
SENSEX,abs_mp_drift_15>0.001,EXIT_ALL,84,96.4,-223.4,-5.58,-417.1,-2.4,-227.4,0,27.4,-160.0,-1101.5,-1294.0,421.0
BOTH,abs_mp_drift_15>0.001,EXIT_ALL,168,95.2,-217.8,-3.49,-456.0,-2.04,-198.3,0,35.1,-170.0,-1466.3,-3978.7,3626.2
NIFTY,abs_mp_drift_15>0.001,EXIT_LEG,84,94.0,-603.1,-1.29,-885.9,-1.55,-601.7,0,45.2,-270.0,-9843.8,-15341.2,6045.0
SENSEX,abs_mp_drift_15>0.001,EXIT_LEG,84,96.4,-169.2,-0.89,-362.9,-1.44,-308.4,0,50.0,93.0,-3643.0,-5653.5,3005.0
BOTH,abs_mp_drift_15>0.001,EXIT_LEG,168,95.2,-386.2,-1.53,-624.4,-2.01,-455.1,0,47.6,-90.0,-6401.2,-15341.2,6045.0
NIFTY,abs_mp_drift_15>0.001,STOP12,84,94.0,390.6,1.27,107.8,0.34,117.7,0,64.3,1102.5,-4695.0,-6735.0,8613.8
SENSEX,abs_mp_drift_15>0.001,STOP12,84,96.4,-43.1,-0.32,-236.8,-1.69,-198.0,0,59.5,360.5,-2252.0,-3393.5,2627.5
BOTH,abs_mp_drift_15>0.001,STOP12,168,95.2,173.7,1.03,-64.5,-0.37,-40.1,0,61.9,572.0,-4020.0,-6735.0,8613.8
NIFTY,abs_mp_drift_15>0.001,STOP13,84,94.0,652.3,2.12,369.5,1.64,290.2,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,abs_mp_drift_15>0.001,STOP13,84,96.4,-110.1,-0.68,-303.8,-2.2,-225.6,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,abs_mp_drift_15>0.001,STOP13,168,95.2,271.1,1.55,32.8,0.24,32.3,1,63.1,592.5,-3678.7,-7050.0,9228.8
NIFTY,wall_near<0.002,EXIT_ALL,84,94.0,-143.4,-2.21,-426.3,-1.01,-184.6,0,29.8,-270.0,-1173.7,-1728.8,1451.2
SENSEX,wall_near<0.002,EXIT_ALL,84,91.7,-120.8,-2.04,-314.5,-1.76,-190.3,0,26.2,-160.0,-938.5,-2825.0,1450.0
BOTH,wall_near<0.002,EXIT_ALL,168,92.9,-132.1,-3.02,-370.4,-1.61,-187.4,0,28.0,-160.0,-1168.5,-2825.0,1451.2
NIFTY,wall_near<0.002,EXIT_LEG,84,94.0,-420.7,-0.81,-703.6,-1.41,-557.3,0,50.0,71.2,-7050.0,-22717.5,6105.0
SENSEX,wall_near<0.002,EXIT_LEG,84,91.7,-68.2,-0.36,-261.8,-1.03,-285.3,1,50.0,47.5,-3147.0,-6059.5,3045.0
BOTH,wall_near<0.002,EXIT_LEG,168,92.9,-244.4,-0.89,-482.7,-1.72,-421.3,0,50.0,47.5,-5988.8,-22717.5,6105.0
NIFTY,wall_near<0.002,STOP12,84,94.0,374.6,1.22,91.8,0.29,84.4,1,63.1,1102.5,-4695.0,-6735.0,8613.8
SENSEX,wall_near<0.002,STOP12,84,91.7,-39.3,-0.29,-233.0,-1.64,-167.1,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,wall_near<0.002,STOP12,168,92.9,167.7,1.0,-70.6,-0.41,-41.3,0,61.3,547.0,-4020.0,-6735.0,8613.8
NIFTY,wall_near<0.002,STOP13,84,94.0,661.9,2.16,379.1,1.69,290.5,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,wall_near<0.002,STOP13,84,91.7,-75.2,-0.48,-268.9,-1.97,-187.1,0,60.7,404.0,-2825.0,-3783.5,3628.5
BOTH,wall_near<0.002,STOP13,168,92.9,293.4,1.69,55.1,0.41,51.7,1,63.1,592.5,-3536.2,-7050.0,9228.8
NIFTY,abs_mp_drift_15>0.002,EXIT_ALL,84,94.0,-212.2,-1.79,-495.0,-1.2,-229.7,0,42.9,-217.5,-1803.7,-3978.7,3626.2
SENSEX,abs_mp_drift_15>0.002,EXIT_ALL,84,69.0,-78.5,-1.12,-272.2,-1.61,-160.1,0,44.0,-124.5,-1106.0,-2376.5,1683.0
BOTH,abs_mp_drift_15>0.002,EXIT_ALL,168,81.5,-145.4,-2.11,-383.6,-1.72,-194.9,0,43.5,-160.0,-1526.2,-3978.7,3626.2
NIFTY,abs_mp_drift_15>0.002,EXIT_LEG,84,94.0,-603.1,-1.29,-885.9,-1.55,-579.1,0,45.2,-270.0,-9843.8,-15341.2,6045.0
SENSEX,abs_mp_drift_15>0.002,EXIT_LEG,84,69.0,27.3,0.17,-166.4,-0.72,-284.6,1,58.3,292.0,-2467.5,-5653.5,3005.0
BOTH,abs_mp_drift_15>0.002,EXIT_LEG,168,81.5,-287.9,-1.17,-526.1,-1.71,-431.9,0,51.8,207.0,-6401.2,-15341.2,6045.0
NIFTY,abs_mp_drift_15>0.002,STOP12,84,94.0,390.6,1.27,107.8,0.34,61.5,1,64.3,1102.5,-4695.0,-6735.0,8613.8
SENSEX,abs_mp_drift_15>0.002,STOP12,84,69.0,26.7,0.19,-167.0,-1.3,-178.6,1,60.7,404.0,-2252.0,-2612.0,3628.5
BOTH,abs_mp_drift_15>0.002,STOP12,168,81.5,208.6,1.23,-29.6,-0.17,-58.6,1,62.5,588.8,-4020.0,-6735.0,8613.8
NIFTY,abs_mp_drift_15>0.002,STOP13,84,94.0,652.3,2.12,369.5,1.64,277.5,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,abs_mp_drift_15>0.002,STOP13,84,69.0,-76.8,-0.49,-270.5,-1.98,-205.9,0,60.7,404.0,-2623.5,-3233.5,3628.5
BOTH,abs_mp_drift_15>0.002,STOP13,168,81.5,287.7,1.65,49.5,0.37,35.8,1,63.1,592.5,-3536.2,-7050.0,9228.8
NIFTY,d_atm_iv_15>1.0,EXIT_ALL,84,19.0,397.9,1.02,115.0,0.68,248.9,0,60.7,1061.3,-4440.0,-18866.2,9228.8
SENSEX,d_atm_iv_15>1.0,EXIT_ALL,84,28.6,196.7,1.45,3.0,0.03,71.9,0,59.5,241.0,-1843.0,-3783.5,4036.0
BOTH,d_atm_iv_15>1.0,EXIT_ALL,168,23.8,297.3,1.45,59.0,0.59,160.4,0,60.1,513.7,-3697.5,-18866.2,9228.8
NIFTY,d_atm_iv_15>1.0,EXIT_LEG,84,19.0,384.6,0.93,101.7,0.39,159.2,0,64.3,1346.2,-5820.0,-18866.2,9228.8
SENSEX,d_atm_iv_15>1.0,EXIT_LEG,84,28.6,224.4,1.38,30.7,0.21,-15.1,1,64.3,511.5,-2384.0,-4463.5,4036.0
BOTH,d_atm_iv_15>1.0,EXIT_LEG,168,23.8,304.5,1.38,66.2,0.45,72.1,0,64.3,757.5,-4440.0,-18866.2,9228.8
NIFTY,d_atm_iv_15>1.0,STOP12,84,19.0,317.9,0.78,35.0,0.23,19.1,1,65.5,1173.8,-5272.5,-18866.2,9228.8
SENSEX,d_atm_iv_15>1.0,STOP12,84,28.6,246.5,1.68,52.9,0.65,10.3,1,67.9,525.0,-2275.0,-3783.5,4036.0
BOTH,d_atm_iv_15>1.0,STOP12,168,23.8,282.2,1.31,44.0,0.51,14.7,1,66.7,709.0,-4440.0,-18866.2,9228.8
NIFTY,d_atm_iv_15>1.0,STOP13,84,19.0,372.4,0.92,89.6,0.81,77.0,1,65.5,1173.8,-5696.2,-18866.2,9228.8
SENSEX,d_atm_iv_15>1.0,STOP13,84,28.6,189.7,1.21,-4.0,-0.05,-29.8,1,67.9,525.0,-2623.5,-3783.5,4036.0
BOTH,d_atm_iv_15>1.0,STOP13,168,23.8,281.1,1.3,42.8,0.62,23.6,1,66.7,709.0,-4012.5,-18866.2,9228.8
NIFTY,d_atm_iv_15>2.0,EXIT_ALL,84,4.8,296.4,0.73,13.5,0.11,209.5,0,63.1,1061.3,-6285.0,-18866.2,9228.8
SENSEX,d_atm_iv_15>2.0,EXIT_ALL,84,7.1,277.4,2.0,83.7,1.02,79.2,1,66.7,511.5,-2376.5,-2638.0,4036.0
BOTH,d_atm_iv_15>2.0,EXIT_ALL,168,6.0,286.9,1.35,48.6,0.64,144.3,0,64.9,618.0,-4012.5,-18866.2,9228.8
NIFTY,d_atm_iv_15>2.0,EXIT_LEG,84,4.8,322.5,0.8,39.6,0.28,268.9,0,64.3,1173.8,-5272.5,-18866.2,9228.8
SENSEX,d_atm_iv_15>2.0,EXIT_LEG,84,7.1,286.1,2.0,92.4,0.95,-40.9,1,67.9,525.0,-2384.0,-3367.0,4036.0
BOTH,d_atm_iv_15>2.0,EXIT_LEG,168,6.0,304.3,1.43,66.0,0.77,114.0,0,66.1,679.5,-4012.5,-18866.2,9228.8
NIFTY,d_atm_iv_15>2.0,STOP12,84,4.8,375.7,0.93,92.9,0.82,111.1,0,65.5,1173.8,-6285.0,-18866.2,9228.8
SENSEX,d_atm_iv_15>2.0,STOP12,84,7.1,272.3,1.92,78.6,1.02,41.1,1,67.9,525.0,-2376.5,-2638.0,4036.0
BOTH,d_atm_iv_15>2.0,STOP12,168,6.0,324.0,1.52,85.7,1.26,76.1,1,66.7,709.0,-4012.5,-18866.2,9228.8
NIFTY,d_atm_iv_15>2.0,STOP13,84,4.8,371.1,0.92,88.3,0.81,84.4,1,65.5,1173.8,-6285.0,-18866.2,9228.8
SENSEX,d_atm_iv_15>2.0,STOP13,84,7.1,244.9,1.67,51.2,0.65,18.2,1,67.9,525.0,-2376.5,-2638.0,4036.0
BOTH,d_atm_iv_15>2.0,STOP13,168,6.0,308.0,1.44,69.7,1.04,51.3,1,66.7,709.0,-4012.5,-18866.2,9228.8
NIFTY,MOVE>0.3%,EXIT_ALL,84,79.8,31.8,0.2,-251.1,-0.62,-60.0,0,42.9,-270.0,-1503.7,-3172.5,3626.2
SENSEX,MOVE>0.3%,EXIT_ALL,84,85.7,-76.1,-1.16,-269.8,-1.56,-141.2,0,39.3,-160.0,-986.5,-1388.5,2218.0
BOTH,MOVE>0.3%,EXIT_ALL,168,82.7,-22.2,-0.26,-260.4,-1.19,-100.6,0,41.1,-224.0,-1432.5,-3172.5,3626.2
NIFTY,MOVE>0.3%,EXIT_LEG,84,79.8,-862.5,-1.88,-1145.3,-2.04,-367.6,0,54.8,416.3,-9382.5,-16890.0,4901.3
SENSEX,MOVE>0.3%,EXIT_LEG,84,85.7,-346.0,-1.78,-539.6,-2.21,-208.7,0,53.6,146.0,-3566.5,-6359.5,2403.0
BOTH,MOVE>0.3%,EXIT_LEG,168,82.7,-604.2,-2.42,-842.5,-2.75,-288.1,0,54.2,246.5,-6641.2,-16890.0,4901.3
NIFTY,MOVE>0.3%,STOP12,84,79.8,270.3,0.93,-12.6,-0.04,129.8,0,63.1,1061.3,-4695.0,-6735.0,4530.0
SENSEX,MOVE>0.3%,STOP12,84,85.7,-33.5,-0.25,-227.2,-1.62,-185.1,0,59.5,360.5,-2252.0,-3393.5,2627.5
BOTH,MOVE>0.3%,STOP12,168,82.7,118.4,0.74,-119.9,-0.65,-27.6,0,61.3,547.0,-4020.0,-6735.0,4530.0
NIFTY,MOVE>0.3%,STOP13,84,79.8,661.9,2.16,379.1,1.69,282.1,1,65.5,1173.8,-4012.5,-7050.0,9228.8
SENSEX,MOVE>0.3%,STOP13,84,85.7,-95.0,-0.59,-288.7,-2.1,-214.5,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,MOVE>0.3%,STOP13,168,82.7,283.4,1.62,45.2,0.34,33.8,1,63.1,592.5,-3536.2,-7050.0,9228.8
NIFTY,MOVE>0.5%,EXIT_ALL,84,48.8,103.8,0.39,-179.1,-0.54,308.1,0,46.4,-270.0,-3720.0,-5201.2,8613.8
SENSEX,MOVE>0.5%,EXIT_ALL,84,54.8,-82.3,-0.8,-276.0,-1.7,-77.9,0,42.9,-142.5,-1682.5,-2433.5,2627.5
BOTH,MOVE>0.5%,EXIT_ALL,168,51.8,10.8,0.08,-227.5,-1.24,115.1,0,44.6,-160.0,-3157.5,-5201.2,8613.8
NIFTY,MOVE>0.5%,EXIT_LEG,84,48.8,-393.0,-0.94,-675.8,-1.39,16.9,0,53.6,723.7,-7413.7,-15888.8,8613.8
SENSEX,MOVE>0.5%,EXIT_LEG,84,54.8,-223.1,-1.39,-416.8,-1.86,-204.6,0,52.4,84.5,-3636.5,-5976.5,2627.5
BOTH,MOVE>0.5%,EXIT_LEG,168,51.8,-308.0,-1.38,-546.3,-2.04,-93.9,0,53.0,106.0,-6142.5,-15888.8,8613.8
NIFTY,MOVE>0.5%,STOP12,84,48.8,328.3,1.03,45.4,0.15,107.9,0,64.3,1102.5,-5201.2,-6735.0,8613.8
SENSEX,MOVE>0.5%,STOP12,84,54.8,-65.0,-0.47,-258.6,-1.79,-184.6,0,59.5,360.5,-2275.0,-3393.5,2627.5
BOTH,MOVE>0.5%,STOP12,168,51.8,131.7,0.76,-106.6,-0.62,-38.4,0,61.9,572.0,-4368.7,-6735.0,8613.8
NIFTY,MOVE>0.5%,STOP13,84,48.8,622.0,1.99,339.2,1.51,294.8,1,65.5,1173.8,-4305.0,-7050.0,9228.8
SENSEX,MOVE>0.5%,STOP13,84,54.8,-106.3,-0.66,-300.0,-2.17,-219.9,0,60.7,404.0,-2629.5,-3783.5,3628.5
BOTH,MOVE>0.5%,STOP13,168,51.8,257.8,1.45,19.6,0.15,37.4,0,63.1,592.5,-3697.5,-7050.0,9228.8
