signal,outcome,horizon,is_placebo,ic_raw,t_raw,stable_raw,ic_partial,t_partial,stable_partial,ic_shuffled,t_shuffled,abs_partial,pct_raw_surviving,alive,n_raw,ic_raw_NIFTY,ic_raw_SENSEX,ic_partial_NIFTY,ic_partial_SENSEX,ic_shuffled_NIFTY,ic_shuffled_SENSEX,n_partial,n_shuffled,stable_shuffled
pcr_vol_atm5,fabs,30,0,0.0599,2.88,0,0.0233,1.62,0,-0.0187,-1.02,0.0233,38.9,0,162,0.0591,0.0607,0.0211,0.0255,-0.0172,-0.0202,162,156,0
d_prem_15,fabs,30,0,-0.0351,-2.8,0,0.0232,1.74,0,0.0179,1.59,0.0232,66.1,0,162,-0.0361,-0.034,0.0226,0.0239,0.0269,0.009,162,156,0
wall_squeeze,fret,15,0,0.1728,9.71,1,-0.0229,-1.54,0,0.0086,0.54,0.0229,13.3,0,156,0.1763,0.1692,-0.0364,-0.0092,0.0168,-0.0002,156,145,0
dist_wall_ce,fdprem,15,0,0.0156,0.88,0,-0.0223,-1.62,0,0.0005,0.03,0.0223,142.9,0,162,0.0167,0.0145,-0.0352,-0.0094,-0.0079,0.0089,162,156,0
doi_atm_15,fdprem,15,0,-0.0063,-0.44,0,-0.0221,-1.77,0,0.0023,0.18,0.0221,350.8,0,162,0.0032,-0.0158,-0.01,-0.0341,-0.0012,0.0058,162,156,0
pcr_oi_atm10,fdprem,15,0,-0.012,-0.84,0,-0.0213,-1.65,0,0.019,1.3,0.0213,177.5,0,162,-0.0077,-0.0163,-0.0181,-0.0245,0.0235,0.0145,162,156,0
mp_drift_15,fdprem,30,0,0.0234,1.55,0,0.0213,1.33,0,0.0113,0.71,0.0213,91.0,0,160,0.0423,0.005,0.026,0.0167,-0.0028,0.0247,160,152,0
d_prem_15,fret,15,0,-0.01,-0.76,0,-0.0204,-1.53,0,0.007,0.52,0.0204,204.0,0,162,-0.0175,-0.0025,-0.0262,-0.0145,0.0175,-0.0035,162,156,0
pcr_oi_atm5,fdprem,15,0,-0.0008,-0.06,0,-0.0203,-1.6,0,0.0146,1.04,0.0203,2537.5,0,162,0.0076,-0.0092,-0.0103,-0.0302,0.0227,0.0065,162,156,0
pcr_vol_all,fdprem,60,0,0.0371,1.15,0,0.0203,0.84,0,0.0225,0.73,0.0203,54.7,0,162,0.0467,0.0275,0.0349,0.0058,-0.0006,0.0456,162,156,0
doi_ce_5,fabs,5,0,0.0577,7.65,1,0.0201,2.69,1,0.035,4.81,0.0201,34.8,0,162,0.0542,0.0612,0.0173,0.0229,0.0276,0.0425,162,156,0
pcr_oi_atm10,fret,15,0,-0.1244,-10.19,1,-0.02,-1.55,0,0.0361,2.39,0.02,16.1,0,162,-0.1423,-0.1065,-0.0242,-0.0157,0.0323,0.04,162,156,0
atm_iv,fret,15,0,0.119,6.72,1,0.02,1.28,0,0.075,3.22,0.02,16.8,0,128,0.1245,0.1134,-0.0075,0.0474,0.0774,0.0724,128,92,0
mp_drift_15,fabs,15,0,0.0036,0.32,0,0.02,1.94,0,-0.001,-0.08,0.02,555.6,0,160,-0.0058,0.0127,0.0088,0.031,0.0026,-0.0043,160,152,0
pcr_oi_atm10,fdprem,30,0,-0.0156,-0.81,0,-0.02,-1.26,0,0.0116,0.55,0.02,128.2,0,162,-0.0081,-0.0231,-0.0199,-0.0201,0.0156,0.0077,162,156,0
doi_wing_15,fret,30,0,0.031,1.75,0,-0.0199,-1.48,0,0.0233,1.38,0.0199,64.2,0,162,0.0526,0.0094,-0.015,-0.0248,0.0301,0.0164,162,156,0
d_pcr_oi_all_15,fdprem,15,0,-0.0132,-0.97,0,-0.0199,-1.45,0,0.0145,0.98,0.0199,150.8,0,162,-0.0193,-0.007,-0.0258,-0.014,0.0115,0.0176,162,156,0
doi_ce_30,fabs,15,0,0.0068,0.52,0,-0.0198,-1.77,0,-0.0194,-1.74,0.0198,291.2,0,162,0.0023,0.0113,-0.0284,-0.0111,-0.026,-0.0127,162,156,0
doi_pe_5,fdprem,15,0,-0.0172,-1.5,0,-0.0196,-1.89,0,-0.0126,-1.02,0.0196,114.0,0,162,-0.0252,-0.0091,-0.0263,-0.0128,-0.0117,-0.0135,162,156,0
mp_drift_15,fdprem,60,0,0.0163,1.07,0,0.0195,1.18,0,0.0055,0.3,0.0195,119.6,0,160,0.0249,0.008,0.0198,0.0193,0.0151,-0.0036,160,152,0
dist_wall_ce,fret,5,0,0.1259,12.36,0,-0.0194,-2.3,1,0.0164,1.86,0.0194,15.4,0,162,0.1255,0.1263,-0.0244,-0.0144,0.0117,0.0211,162,156,0
mp_drift_30,fabs,5,0,-0.0025,-0.32,0,0.0192,2.42,0,0.0024,0.27,0.0192,768.0,0,160,-0.0061,0.001,0.0179,0.0205,-0.0102,0.0143,160,152,0
doi_wing_15,fabs,30,0,-0.0163,-1.21,0,-0.019,-1.45,0,0.0163,1.26,0.019,116.6,0,162,-0.0183,-0.0143,-0.0296,-0.0084,-0.0022,0.0349,162,156,0
wall_squeeze,fabs,30,0,0.0123,0.68,0,-0.019,-1.23,0,0.0121,0.65,0.019,154.5,0,156,0.0338,-0.0098,0.0017,-0.0403,0.0411,-0.0189,156,145,0
pcr_vol_atm5,fdprem,15,0,0.035,2.02,0,0.0187,1.34,0,0.0025,0.16,0.0187,53.4,0,162,0.0458,0.0242,0.0357,0.0017,-0.004,0.0089,162,156,0
doi_wing_15,fret,60,0,0.0225,1.08,0,-0.0186,-1.18,0,0.0287,1.4,0.0186,82.7,0,162,0.0476,-0.0027,-0.0161,-0.0211,0.0432,0.0142,162,156,0
wall_squeeze,fret,60,0,0.284,10.51,1,0.0185,0.85,0,0.0018,0.06,0.0185,6.5,0,156,0.3056,0.2617,0.0123,0.0249,0.0022,0.0014,156,145,0
dist_wall_pe,fdprem,5,0,0.0358,3.58,0,0.0184,2.08,0,0.0086,1.03,0.0184,51.4,0,162,0.0396,0.032,0.0122,0.0246,0.0044,0.0127,162,156,0
doi_pe_30,fdprem,15,0,-0.0018,-0.11,0,-0.0183,-1.1,0,0.0169,1.12,0.0183,1016.7,0,162,0.0034,-0.007,-0.016,-0.0206,0.0221,0.0117,162,156,0
pcr_vol_atm5,fdprem,60,0,0.0664,2.26,0,0.018,0.93,0,0.0346,1.15,0.018,27.1,0,162,0.0774,0.0554,0.0258,0.0102,0.0316,0.0377,162,156,0
dist_wall_pe,fdprem,60,0,0.1004,3.68,0,0.0179,0.88,0,0.0118,0.43,0.0179,17.8,0,162,0.1005,0.1004,0.0287,0.0071,-0.0128,0.0364,162,156,0
mp_drift_15,fabs,60,0,-0.0061,-0.41,0,0.0178,1.21,0,0.0147,0.97,0.0178,291.8,0,160,0.0025,-0.0144,0.0225,0.0131,0.0375,-0.007,160,152,0
placebo_noise,fret,60,1,0.0049,0.17,0,0.0177,0.62,0,-0.0413,-1.36,0.0177,361.2,0,162,0.0045,0.0053,0.0163,0.019,-0.0388,-0.0438,162,162,0
mp_drift_15,fdprem,15,0,0.0214,1.73,0,0.0176,1.37,0,-0.0006,-0.04,0.0176,82.2,0,160,0.0356,0.0076,0.0188,0.0165,-0.0087,0.0071,160,152,0
mp_dev,fabs,15,0,0.0284,2.2,0,-0.0175,-1.56,0,-0.0248,-2.11,0.0175,61.6,0,162,0.0251,0.0318,-0.0259,-0.009,-0.0264,-0.0232,162,156,0
doi_pe_15,fabs,60,0,-0.0217,-1.2,0,0.0174,0.95,0,-0.0153,-0.88,0.0174,80.2,0,162,-0.0196,-0.0238,0.0201,0.0147,-0.0243,-0.0062,162,156,0
d_pcr_oi_atm5_15,fret,5,0,0.0191,2.38,0,0.0171,2.0,0,0.0071,0.85,0.0171,89.5,0,162,0.017,0.0212,0.0258,0.0084,0.0101,0.0042,162,156,0
pcr_oi_all,fdprem,15,0,-0.0428,-2.52,0,-0.0171,-1.22,0,0.0047,0.29,0.0171,40.0,0,162,-0.0447,-0.0408,-0.0271,-0.007,0.0187,-0.0092,162,156,0
pcr_vol_atm5,fret,5,0,0.1576,17.9,1,0.0167,1.6,0,-0.0002,-0.02,0.0167,10.6,0,162,0.1553,0.1598,0.0347,-0.0014,0.0037,-0.0041,162,156,0
atm_iv,fret,5,0,0.0737,7.23,1,0.0167,1.57,0,0.0461,3.35,0.0167,22.7,0,128,0.0756,0.0718,-0.0035,0.0369,0.0463,0.0458,128,92,0
mp_dev,fabs,30,0,0.0364,2.08,0,-0.0167,-1.16,0,0.0006,0.04,0.0167,45.9,0,162,0.0372,0.0357,-0.0247,-0.0088,-0.0024,0.0037,162,156,0
doi_pe_5,fabs,60,0,-0.005,-0.34,0,0.0167,1.27,0,0.0021,0.16,0.0167,334.0,0,162,-0.0005,-0.0096,0.0184,0.015,0.003,0.0012,162,156,0
d_atm_iv_15,fabs,30,0,-0.0134,-0.87,0,0.0164,1.09,0,-0.0089,-0.58,0.0164,122.4,0,128,-0.0122,-0.0145,0.0186,0.0141,0.0012,-0.0199,128,92,0
doi_wing_15,fabs,60,0,-0.0327,-2.03,0,-0.0164,-1.11,0,-0.0017,-0.11,0.0164,50.2,0,162,-0.0225,-0.0429,-0.0277,-0.005,-0.0214,0.018,162,156,0
mp_drift_30,fdprem,5,0,0.013,1.5,0,0.0164,1.83,0,-0.0004,-0.05,0.0164,126.2,0,160,0.0213,0.0049,0.0134,0.0192,-0.0066,0.0055,160,152,0
d_pcr_oi_atm5_15,fret,60,0,0.0095,0.74,0,0.0162,1.32,0,0.0464,3.76,0.0162,170.5,0,162,-0.0038,0.0227,0.0177,0.0147,0.0496,0.0432,162,156,0
doi_net_15,fdprem,15,0,-0.0086,-0.64,0,-0.0162,-1.18,0,0.0141,0.95,0.0162,188.4,0,162,-0.0143,-0.0029,-0.022,-0.0104,0.0118,0.0164,162,156,0
dist_wall_ce,fret,60,0,0.3041,12.48,1,-0.0161,-0.82,0,0.0074,0.27,0.0161,5.3,0,162,0.3281,0.2801,-0.0146,-0.0176,-0.0414,0.0561,162,156,0
dist_wall_pe,fabs,60,0,0.0413,1.87,0,-0.0158,-0.87,0,-0.0247,-1.18,0.0158,38.3,0,162,0.0433,0.0392,0.0113,-0.043,-0.022,-0.0274,162,156,0
mp_drift_15,fabs,30,0,-0.0016,-0.13,0,0.0157,1.3,0,0.0088,0.66,0.0157,981.2,0,160,-0.007,0.0036,0.01,0.0212,0.0003,0.0169,160,152,0
dist_wall_ce,fdprem,5,0,0.008,0.75,0,-0.0157,-1.89,0,0.0076,0.92,0.0157,196.2,0,162,0.0105,0.0054,-0.0215,-0.01,-0.0004,0.0156,162,156,0
pcr_oi_atm5,fdprem,30,0,0.0005,0.03,0,-0.0153,-0.96,0,0.0123,0.6,0.0153,3060.0,0,162,0.0115,-0.0105,-0.0038,-0.0268,0.0198,0.0047,162,156,0
doi_net_15,fabs,30,0,-0.0059,-0.39,0,0.015,1.2,0,0.0177,1.13,0.015,254.2,0,162,-0.0048,-0.0071,0.0206,0.0094,0.0221,0.0134,162,156,0
doi_atm_15,fret,15,0,0.0219,1.41,0,0.0149,1.25,0,0.0125,0.95,0.0149,68.0,0,162,0.0291,0.0148,0.0059,0.0239,0.0064,0.0185,162,156,0
doi_ce_5,fabs,60,0,0.0156,1.05,0,0.0147,1.09,0,0.0196,1.23,0.0147,94.2,0,162,0.0186,0.0126,0.0143,0.0151,0.0164,0.0228,162,156,0
pcr_oi_atm10,fabs,15,0,-0.031,-2.16,0,-0.0145,-1.28,0,0.0133,0.96,0.0145,46.8,0,162,-0.0244,-0.0376,-0.0083,-0.0206,0.0012,0.0254,162,156,0
doi_ce_15,fabs,30,0,0.0092,0.61,0,-0.0144,-1.14,0,-0.0001,-0.0,0.0144,156.5,0,162,0.0119,0.0064,-0.0154,-0.0135,-0.0068,0.0067,162,156,0
doi_pe_30,fabs,5,0,0.0053,0.61,0,0.0143,1.8,0,0.0231,2.41,0.0143,269.8,0,162,0.0043,0.0064,0.015,0.0136,0.0196,0.0266,162,156,0
doi_atm_15,fret,30,0,0.0177,1.04,0,0.014,1.02,0,0.0241,1.54,0.014,79.1,0,162,0.0288,0.0066,0.0047,0.0232,0.0174,0.0309,162,156,0
doi_net_15,fabs,60,0,-0.0175,-0.96,0,0.014,0.79,0,-0.0143,-0.8,0.014,80.0,0,162,-0.0201,-0.015,0.0135,0.0145,-0.0106,-0.018,162,156,0
doi_ce_30,fabs,30,0,0.0021,0.12,0,-0.0138,-0.87,0,-0.0024,-0.14,0.0138,657.1,0,162,0.0029,0.0014,-0.0189,-0.0087,0.0012,-0.006,162,156,0
doi_atm_15,fret,5,0,0.0174,1.95,0,0.0137,1.77,0,0.0096,1.05,0.0137,78.7,0,162,0.0249,0.01,0.0102,0.0173,0.013,0.0062,162,156,0
mp_dev,fabs,60,0,0.055,2.48,0,0.0135,0.7,0,0.0254,1.31,0.0135,24.5,0,162,0.0592,0.0508,0.0045,0.0225,0.0332,0.0176,162,156,0
mp_drift_15,fdprem,5,0,0.0156,1.81,0,0.0133,1.54,0,-0.0032,-0.37,0.0133,85.3,0,160,0.0237,0.0077,0.0121,0.0144,-0.0192,0.012,160,152,0
d_pcr_oi_all_15,fabs,30,0,-0.0094,-0.61,0,0.0132,1.05,0,0.0174,1.12,0.0132,140.4,0,162,-0.0081,-0.0106,0.019,0.0075,0.0213,0.0136,162,156,0
mp_dev,fabs,5,0,0.0363,4.21,0,0.0131,1.73,0,-0.0126,-1.57,0.0131,36.1,0,162,0.0317,0.041,0.0071,0.0192,-0.0216,-0.0035,162,156,0
atm_iv,fabs,5,0,0.0639,5.73,0,-0.0131,-1.36,0,0.0634,5.15,0.0131,20.5,0,128,0.0589,0.0688,-0.0089,-0.0172,0.0599,0.0672,128,92,0
doi_net_15,fabs,15,0,-0.0063,-0.52,0,0.013,1.26,0,0.0301,2.53,0.013,206.3,0,162,-0.0081,-0.0045,0.0124,0.0136,0.0344,0.0258,162,156,0
dist_wall_pe,fdprem,15,0,0.0544,3.39,0,0.0129,1.0,0,0.0137,0.99,0.0129,23.7,0,162,0.0519,0.0569,-0.0001,0.0259,0.0085,0.0189,162,156,0
pcr_oi_all,fabs,60,0,-0.0314,-1.27,0,-0.0127,-0.75,0,-0.0023,-0.1,0.0127,40.4,0,162,-0.0206,-0.0421,-0.0067,-0.0187,-0.0024,-0.0023,162,156,0
doi_atm_15,fret,60,0,0.0068,0.34,0,-0.0126,-0.8,0,0.0234,1.31,0.0126,185.3,0,162,0.0208,-0.0072,-0.0212,-0.0039,0.0339,0.0128,162,156,0
pcr_vol_all,fabs,15,0,0.0096,0.7,0,0.0126,1.08,0,-0.0199,-1.35,0.0126,131.2,0,162,0.0136,0.0055,0.0172,0.0081,-0.0125,-0.0273,162,156,0
pcr_oi_atm5,fabs,60,0,0.0131,0.67,0,-0.0126,-0.75,0,0.006,0.29,0.0126,96.2,0,162,0.0069,0.0193,-0.0189,-0.0063,0.0033,0.0087,162,156,0
d_pcr_oi_atm5_15,fret,30,0,0.0148,1.22,0,0.0124,1.02,0,0.0281,2.32,0.0124,83.8,0,162,0.005,0.0246,0.0236,0.0012,0.0335,0.0227,162,156,0
pcr_oi_all,fdprem,30,0,-0.0546,-2.35,0,-0.0122,-0.73,0,0.0005,0.02,0.0122,22.3,0,162,-0.0507,-0.0585,-0.0258,0.0013,0.0132,-0.0123,162,156,0
placebo_noise,fabs,15,1,0.011,0.81,0,-0.0119,-0.98,0,0.0032,0.23,0.0119,108.2,0,162,0.0116,0.0103,-0.0142,-0.0096,0.0084,-0.002,162,162,0
d_pcr_oi_all_15,fabs,60,0,-0.0229,-1.25,0,0.0118,0.68,0,-0.0138,-0.77,0.0118,51.5,0,162,-0.0253,-0.0205,0.0112,0.0123,-0.0113,-0.0164,162,156,0
d_prem_15,fabs,15,0,-0.0179,-1.64,0,0.0117,1.09,0,0.0031,0.28,0.0117,65.4,0,162,-0.021,-0.0149,0.0073,0.016,0.007,-0.0009,162,156,0
wall_squeeze,fret,30,0,0.2271,10.03,1,-0.0116,-0.59,0,-0.0002,-0.01,0.0116,5.1,0,156,0.2371,0.2168,-0.0251,0.0022,0.0071,-0.008,156,145,0
placebo_noise,fdprem,60,1,0.0086,0.3,0,-0.0116,-0.41,0,-0.0218,-0.73,0.0116,134.9,0,162,0.0077,0.0096,-0.0063,-0.0169,-0.0199,-0.0237,162,162,0
doi_pe_5,fabs,5,0,0.0147,2.02,0,-0.0115,-1.64,0,0.0509,6.77,0.0115,78.2,0,162,0.0074,0.022,-0.0195,-0.0035,0.0455,0.0562,162,156,0
doi_pe_15,fabs,15,0,0.0042,0.39,0,0.0115,1.12,0,0.0402,3.25,0.0115,273.8,0,162,0.0031,0.0054,0.0128,0.0102,0.0403,0.0401,162,156,0
wall_squeeze,fabs,60,0,0.0106,0.48,0,-0.0114,-0.61,0,0.0386,1.72,0.0114,107.5,0,156,0.0008,0.0206,-0.0163,-0.0063,0.0497,0.0268,156,145,0
doi_ce_30,fabs,5,0,0.0213,2.68,0,-0.0113,-1.44,0,0.0031,0.37,0.0113,53.1,0,162,0.0187,0.0239,-0.0119,-0.0108,-0.0014,0.0076,162,156,0
d_pcr_oi_all_15,fabs,15,0,-0.0087,-0.73,0,0.0112,1.11,0,0.0292,2.44,0.0112,128.7,0,162,-0.0105,-0.0069,0.0106,0.0117,0.0325,0.026,162,156,0
doi_atm_15,fabs,5,0,0.0105,1.54,0,-0.0111,-1.73,0,0.0293,4.0,0.0111,105.7,0,162,0.0061,0.0149,-0.0159,-0.0063,0.0322,0.0263,162,156,1
doi_atm_15,fdprem,5,0,-0.0031,-0.36,0,-0.0111,-1.36,0,0.0085,1.01,0.0111,358.1,0,162,-0.0033,-0.0029,-0.0086,-0.0136,0.0006,0.0164,162,156,0
pcr_oi_atm5,fabs,15,0,-0.0139,-1.01,0,-0.011,-0.98,0,0.0053,0.41,0.011,79.1,0,162,-0.0127,-0.0151,-0.0082,-0.0138,-0.0027,0.0134,162,156,0
pcr_vol_atm5,fabs,15,0,0.0436,2.89,0,0.011,0.97,0,-0.0222,-1.6,0.011,25.2,0,162,0.042,0.0453,0.0086,0.0134,-0.0194,-0.0251,162,156,0
dist_wall_pe,fabs,30,0,0.0594,3.39,0,-0.0109,-0.84,0,-0.013,-0.78,0.0109,18.4,0,162,0.0599,0.0589,-0.0032,-0.0187,-0.0224,-0.0036,162,156,0
d_atm_iv_15,fabs,60,0,-0.0497,-3.01,0,-0.0109,-0.66,0,-0.018,-0.99,0.0109,21.9,0,128,-0.0482,-0.0512,-0.0127,-0.0091,-0.0264,-0.0088,128,92,0
placebo_noise,fabs,60,1,0.0303,1.39,0,-0.0109,-0.49,0,0.0642,2.82,0.0109,36.0,0,162,0.0312,0.0295,-0.0103,-0.0115,0.0693,0.0592,162,162,0
doi_ce_5,fabs,15,0,0.0406,3.93,0,0.0108,1.19,0,0.0208,2.44,0.0108,26.6,0,162,0.0402,0.0411,0.009,0.0125,0.016,0.0256,162,156,0
placebo_negspot,fdprem,30,1,0.0803,3.15,0,-0.0108,-1.91,0,-0.0027,-0.13,0.0108,13.4,0,162,0.0743,0.0862,-0.0145,-0.0071,-0.0135,0.0081,162,156,0
dist_wall_ce,fabs,30,0,0.0287,1.57,0,-0.0107,-0.79,0,0.0262,1.46,0.0107,37.3,0,162,0.045,0.0124,-0.003,-0.0184,0.0447,0.0077,162,156,0
doi_ce_15,fabs,15,0,0.0239,1.99,0,-0.0106,-1.01,0,-0.0047,-0.45,0.0106,44.4,0,162,0.026,0.0217,-0.01,-0.0111,-0.0118,0.0024,162,156,0
doi_pe_5,fabs,30,0,0.0093,0.82,0,0.0106,1.04,0,0.0295,2.48,0.0106,114.0,0,162,0.0138,0.0049,0.0156,0.0056,0.0305,0.0284,162,156,0
pcr_oi_atm10,fabs,60,0,-0.0012,-0.05,0,-0.0104,-0.6,0,0.0172,0.77,0.0104,866.7,0,162,0.0029,-0.0053,-0.0159,-0.0049,-0.0029,0.0373,162,156,0
placebo_noise,fdprem,5,1,0.012,1.37,0,0.0104,1.06,0,-0.0094,-1.09,0.0104,86.7,0,162,0.0081,0.0159,0.01,0.0108,-0.01,-0.0087,162,162,0
dist_wall_pe,fret,5,0,0.1116,11.02,1,-0.0103,-1.25,0,0.0012,0.13,0.0103,9.2,0,162,0.1066,0.1166,-0.0127,-0.0078,-0.0092,0.0116,162,156,0
d_pcr_oi_atm5_15,fabs,60,0,-0.0161,-1.27,0,-0.0099,-0.85,0,0.0009,0.09,0.0099,61.5,0,162,-0.0115,-0.0207,-0.0099,-0.01,0.0022,-0.0003,162,156,0
doi_wing_15,fret,15,0,0.0348,2.45,0,-0.0098,-0.86,0,0.0355,2.43,0.0098,28.2,0,162,0.0532,0.0165,-0.0041,-0.0156,0.0238,0.0471,162,156,0
placebo_noise,fdprem,15,1,0.0136,0.93,0,0.0098,0.6,0,-0.0013,-0.08,0.0098,72.1,0,162,0.0068,0.0205,0.0085,0.0112,-0.001,-0.0016,162,162,0
d_prem_15,fret,5,0,-0.0055,-0.65,0,-0.0094,-1.01,0,0.0145,1.82,0.0094,170.9,0,162,-0.0046,-0.0064,-0.0088,-0.01,0.015,0.014,162,156,0
d_pcr_oi_atm5_15,fdprem,30,0,0.0009,0.08,0,-0.0094,-0.78,0,0.0117,0.91,0.0094,1044.4,0,162,0.0143,-0.0126,0.0009,-0.0198,0.018,0.0054,162,156,0
doi_ce_30,fdprem,5,0,0.012,1.32,0,0.0093,0.9,0,0.0005,0.06,0.0093,77.5,0,162,0.0191,0.0049,0.0175,0.001,0.0005,0.0005,162,156,0
doi_ce_30,fdprem,15,0,0.0158,1.06,0,0.0092,0.57,0,-0.0118,-0.8,0.0092,58.2,0,162,0.0249,0.0066,0.0137,0.0046,-0.0066,-0.0169,162,156,0
dist_wall_ce,fabs,15,0,0.0259,1.87,0,-0.0089,-0.85,0,0.0244,1.72,0.0089,34.4,0,162,0.039,0.0129,0.0014,-0.0192,0.0376,0.0112,162,156,0
wall_squeeze,fabs,15,0,0.0099,0.71,0,-0.0089,-0.76,0,0.0289,1.92,0.0089,89.9,0,156,0.0257,-0.0064,0.0004,-0.0183,0.042,0.0148,156,145,0
mp_dev,fdprem,60,0,0.0364,1.43,0,-0.0089,-0.39,0,0.0326,1.33,0.0089,24.5,0,162,0.0439,0.0288,-0.0224,0.0046,0.0476,0.0176,162,156,0
placebo_noise,fret,30,1,-0.0025,-0.11,0,-0.0088,-0.36,0,-0.0128,-0.54,0.0088,352.0,0,162,-0.0025,-0.0025,-0.0095,-0.008,-0.0109,-0.0147,162,162,0
placebo_time,fret,60,1,-0.0688,-2.02,0,0.0088,1.67,0,-0.0662,-1.94,0.0088,12.8,0,162,-0.0708,-0.0668,-0.001,0.0186,-0.0677,-0.0648,162,162,0
doi_wing_15,fret,5,0,0.0199,2.38,0,-0.0087,-1.21,0,0.0303,3.31,0.0087,43.7,0,162,0.0211,0.0186,-0.0181,0.0007,0.0242,0.0363,162,156,0
mp_drift_30,fabs,30,0,-0.0101,-0.63,0,0.0087,0.61,0,0.0149,0.87,0.0087,86.1,0,160,-0.0173,-0.0031,-0.0042,0.0214,0.0072,0.0223,160,152,0
pcr_oi_atm10,fdprem,5,0,-0.0034,-0.42,0,-0.0087,-1.03,0,0.0055,0.65,0.0087,255.9,0,162,0.0007,-0.0076,-0.003,-0.0143,0.0118,-0.0008,162,156,0
pcr_oi_atm5,fdprem,5,0,0.0033,0.39,0,-0.0086,-1.03,0,0.002,0.23,0.0086,260.6,0,162,0.0078,-0.0013,-0.001,-0.0162,0.0123,-0.0082,162,156,0
pcr_oi_all,fabs,5,0,-0.0419,-3.75,0,-0.0085,-1.1,0,0.0046,0.49,0.0085,20.3,0,162,-0.0391,-0.0447,-0.0013,-0.0158,0.0003,0.0089,162,156,0
wall_squeeze,fret,5,0,0.1151,10.92,0,-0.0083,-0.85,0,0.0099,1.03,0.0083,7.2,0,156,0.1174,0.1128,-0.0137,-0.0028,0.0179,0.0013,156,145,0
doi_pe_15,fdprem,5,0,-0.0101,-1.16,0,-0.0082,-0.96,0,-0.0073,-0.91,0.0082,81.2,0,162,-0.016,-0.0043,-0.0141,-0.0023,-0.0102,-0.0044,162,156,0
mp_drift_30,fabs,15,0,-0.015,-1.31,0,0.008,0.8,0,0.0112,0.88,0.008,53.3,0,160,-0.0292,-0.0012,-0.0082,0.0238,0.0001,0.0219,160,152,0
dist_wall_pe,fdprem,30,0,0.0779,3.46,0,0.008,0.46,0,0.0159,0.84,0.008,10.3,0,162,0.0722,0.0835,0.0105,0.0054,-0.0008,0.0327,162,156,0
doi_ce_15,fdprem,30,0,-0.0066,-0.38,0,-0.0078,-0.44,0,-0.0394,-2.19,0.0078,118.2,0,162,0.0045,-0.0177,-0.0004,-0.0151,-0.038,-0.0407,162,156,0
mp_drift_15,fabs,5,0,-0.0071,-0.9,0,0.0072,0.94,0,-0.0002,-0.02,0.0072,101.4,0,160,-0.0149,0.0004,0.0014,0.0129,-0.0074,0.0067,160,152,0
d_pcr_oi_all_15,fdprem,5,0,-0.005,-0.58,0,-0.0071,-0.81,0,-0.0032,-0.36,0.0071,142.0,0,162,-0.0127,0.0027,-0.0168,0.0025,-0.0062,-0.0003,162,156,0
pcr_oi_all,fret,5,0,-0.1517,-22.08,1,-0.0069,-0.79,0,0.0139,1.5,0.0069,4.5,0,162,-0.1537,-0.1497,-0.0092,-0.0046,0.0149,0.0129,162,156,0
d_atm_iv_15,fret,5,0,0.0167,1.78,0,-0.0069,-0.68,0,0.0161,1.44,0.0069,41.3,0,128,0.0003,0.033,-0.012,-0.0018,0.0123,0.0202,128,92,0
wall_squeeze,fabs,5,0,0.0188,1.81,0,-0.0067,-0.83,0,0.0252,2.54,0.0067,35.6,0,156,0.0303,0.0071,0.0005,-0.014,0.0235,0.027,156,145,0
doi_ce_5,fdprem,30,0,-0.0179,-1.22,0,-0.0067,-0.44,0,-0.0338,-2.25,0.0067,37.4,0,162,-0.0063,-0.0295,-0.0011,-0.0123,-0.0382,-0.0294,162,156,0
placebo_time,fdprem,30,1,0.0009,0.04,0,0.0067,1.28,0,0.0012,0.05,0.0067,744.4,0,162,-0.0045,0.0063,0.0121,0.0013,-0.0033,0.0057,162,162,0
doi_pe_5,fabs,15,0,0.0204,2.22,0,0.0066,0.75,0,0.0494,4.88,0.0066,32.4,0,162,0.0182,0.0227,0.0035,0.0096,0.0466,0.0521,162,156,0
doi_ce_15,fabs,60,0,0.0114,0.64,0,0.0066,0.43,0,0.013,0.66,0.0066,57.9,0,162,0.0135,0.0094,0.0057,0.0076,0.0078,0.0182,162,156,0
d_prem_15,fabs,5,0,-0.0054,-0.72,0,0.0065,0.89,0,0.0101,1.32,0.0065,120.4,0,162,-0.0019,-0.0088,0.0067,0.0063,0.0163,0.0038,162,156,0
pcr_oi_atm10,fret,5,0,-0.0688,-9.88,1,0.0064,0.78,0,0.0265,3.02,0.0064,9.3,0,162,-0.078,-0.0595,0.0076,0.0052,0.028,0.0249,162,156,0
doi_atm_15,fabs,15,0,0.0096,1.04,0,-0.0062,-0.7,0,0.0266,2.47,0.0062,64.6,0,162,0.012,0.0073,-0.0013,-0.0112,0.0236,0.0296,162,156,0
doi_wing_15,fdprem,15,0,-0.0188,-1.41,0,-0.0062,-0.56,0,-0.0114,-0.82,0.0062,33.0,0,162,-0.0005,-0.0371,0.0077,-0.0201,-0.003,-0.0198,162,156,0
mp_dev,fdprem,30,0,0.0396,1.92,0,0.0062,0.35,0,0.0112,0.66,0.0062,15.7,0,162,0.0467,0.0326,-0.0001,0.0125,0.0131,0.0094,162,156,0
doi_ce_5,fdprem,15,0,-0.0044,-0.35,0,0.0059,0.44,0,-0.0107,-0.82,0.0059,134.1,0,162,0.0098,-0.0187,0.0148,-0.003,-0.0146,-0.0068,162,156,0
