date,baseline,rsi50,vwap,volspike,htf,confluence
2025-04-28,-949.35,-949.35,-949.35,0.00,0.00,0.00
2025-04-29,-4647.29,-4647.29,-4647.29,-2413.18,-1063.92,0.00
2025-04-30,-3916.89,-3916.89,-3916.89,-2975.57,-3135.34,-2194.03
2025-05-02,-2219.31,-2219.31,-2219.31,-1125.33,-1093.97,0.00
2025-05-06,-963.47,-963.47,-963.47,0.00,0.00,0.00
2025-05-07,413.62,413.62,413.62,0.00,413.62,0.00
2025-05-08,1122.72,1122.72,1122.72,-296.04,1122.72,-296.04
2025-05-09,2187.16,2187.16,2187.16,0.00,0.00,0.00
2025-05-12,-1071.39,-1071.39,-1071.39,-1071.39,-1071.39,-1071.39
2025-05-14,-341.64,-341.64,-341.64,610.85,-341.64,610.85
2025-05-15,3943.43,3943.43,3943.43,3943.43,3943.43,3943.43
2025-05-16,-4266.51,-4266.51,-4266.51,-2252.70,-811.22,200.83
2025-05-19,-1329.23,-1329.23,-1329.23,-1087.88,-212.66,-1087.88
2025-05-20,-3148.51,-3148.51,-3148.51,-1028.84,0.00,0.00
2025-05-22,-939.15,-939.15,-939.15,0.00,0.00,0.00
2025-05-23,-1680.94,-1680.94,-1680.94,-411.58,-1680.94,-411.58
2025-05-26,-5736.67,-5736.67,-5736.67,-5415.45,-1788.73,-1788.73
2025-05-27,1228.21,1228.21,1228.21,0.00,1648.96,0.00
2025-06-02,583.46,583.46,583.46,988.75,470.46,0.00
2025-06-03,-3377.49,-3377.49,-3377.49,-1059.10,-2118.51,199.88
2025-06-04,-3242.91,-3242.91,-3242.91,0.00,-1011.38,0.00
2025-06-05,1780.43,1780.43,1780.43,1780.43,1780.43,1780.43
2025-06-09,-1886.21,-1886.21,-1886.21,-775.55,-1110.66,0.00
2025-06-10,-970.86,-970.86,-970.86,-970.86,-970.86,-970.86
2025-06-11,-1615.01,-1615.01,-1615.01,-1877.00,-620.14,-882.14
2025-06-12,-3981.58,-3981.58,-3981.58,-1053.38,-1858.21,0.00
2025-06-17,-167.99,-167.99,-387.24,-167.99,0.00,0.00
2025-06-19,-6848.31,-6848.31,-6848.31,-739.75,-5031.71,-956.27
2025-06-20,-3157.66,-3157.66,-3157.66,76.42,-812.68,1289.26
2025-06-23,-1887.62,-1887.62,-1887.62,-3037.97,-1571.17,-1571.17
2025-06-24,136.81,136.81,136.81,-362.33,0.00,0.00
2025-06-25,-2946.22,-2946.22,-2946.22,-1974.98,-1974.98,-1974.98
2025-06-26,-1245.91,-1245.91,-1245.91,-310.72,0.00,0.00
2025-06-27,-519.90,-519.90,-519.90,0.00,-1098.74,0.00
2025-07-01,-381.97,-381.97,-381.97,543.57,0.00,0.00
2025-07-02,-1820.49,-1820.49,-1820.49,-1005.26,0.00,0.00
2025-07-03,-948.88,-948.88,-948.88,-948.88,0.00,0.00
2025-07-04,-704.82,-704.82,-704.82,496.76,809.08,496.76
2025-07-07,-3945.21,-3945.21,-3945.21,-921.20,-1768.43,-921.20
2025-07-09,-1172.21,-1172.21,-1172.21,0.00,-775.99,0.00
2025-07-10,-274.58,-274.58,-274.58,-534.03,0.00,0.00
2025-07-11,460.49,460.49,638.62,601.83,779.96,779.96
2025-07-14,-1833.28,-1833.28,-1833.28,0.00,-1365.87,0.00
2025-07-15,-1485.76,-1485.76,-1485.76,-1903.26,0.00,0.00
2025-07-17,-1897.14,-1897.14,-1897.14,-1897.14,-939.95,-939.95
2025-07-18,-3163.25,-3163.25,-2189.08,-2150.94,0.00,0.00
2025-07-22,-1079.09,-1079.09,-1079.09,-216.25,-216.25,-216.25
2025-07-23,266.97,266.97,266.97,-235.65,527.61,527.61
2025-07-25,1080.62,1080.62,1080.62,0.00,1080.62,0.00
2025-07-28,39.98,39.98,39.98,39.98,39.98,39.98
2025-07-29,-2054.00,-2054.00,-2054.00,109.33,-1022.82,0.00
2025-07-30,-814.19,-814.19,-814.19,0.00,-814.19,0.00
2025-07-31,-2103.53,-2103.53,-2103.53,-1047.17,0.00,0.00
2025-08-04,1130.78,1130.78,1130.78,905.20,905.20,905.20
2025-08-05,-35.11,-35.11,-35.11,0.00,308.05,0.00
2025-08-06,-1272.75,-1272.75,0.00,-1272.75,0.00,0.00
2025-08-07,-1455.16,-1455.16,-1455.16,572.67,-965.28,0.00
2025-08-08,-1889.76,-1889.76,-70.88,-1878.16,-711.68,-1873.62
2025-08-11,-899.05,-899.05,-899.05,408.29,0.00,0.00
2025-08-12,-2073.74,-2073.74,-2073.74,-1080.90,0.00,0.00
2025-08-13,-3488.57,-3488.57,-3488.57,0.00,-2589.97,0.00
2025-08-14,1406.85,1406.85,1406.85,136.54,1042.25,399.25
2025-08-18,-903.25,-903.25,-903.25,-903.25,-903.25,-903.25
2025-08-19,-892.07,-892.07,-892.07,0.00,-892.07,0.00
2025-08-21,68.67,68.67,68.67,0.00,0.00,0.00
2025-08-26,-2462.45,-2462.45,-2462.45,0.00,-2462.45,0.00
2025-08-28,-200.30,-200.30,-200.30,752.55,752.55,752.55
2025-08-29,-124.79,-124.79,-124.79,587.04,-124.79,587.04
2025-09-01,-920.08,-920.08,-920.08,0.00,-920.08,0.00
2025-09-03,849.85,849.85,849.85,273.09,0.00,0.00
2025-09-04,-381.86,-381.86,-381.86,-381.86,0.00,0.00
2025-09-05,-623.88,-623.88,-1116.02,197.09,197.09,0.00
2025-09-08,53.32,53.32,53.32,0.00,53.32,0.00
2025-09-09,-726.82,-726.82,-726.82,0.00,0.00,0.00
2025-09-11,-2379.95,-2379.95,-2379.95,0.00,-1327.02,0.00
2025-09-12,934.27,934.27,934.27,0.00,0.00,0.00
2025-09-15,-1009.07,-1009.07,-1009.07,-733.53,0.00,0.00
2025-09-16,-1802.67,-1802.67,-1802.67,-924.61,-1802.67,-924.61
2025-09-17,-2879.36,-2879.36,-2879.36,0.00,0.00,0.00
2025-09-19,-504.30,-504.30,-504.30,-504.30,-504.30,-504.30
2025-09-22,-780.79,-780.79,-780.79,-780.79,-780.79,-780.79
2025-09-25,-2246.17,-2246.17,-2246.17,-933.63,-2246.17,-933.63
2025-09-29,-368.91,-368.91,-368.91,-368.91,-1007.66,-1007.66
2025-09-30,-991.77,-991.77,-991.77,-991.77,-991.77,-991.77
2025-10-01,118.55,118.55,118.55,-986.64,0.00,0.00
2025-10-03,-692.17,-692.17,-692.17,1292.89,149.65,1292.89
2025-10-06,-3422.33,-3422.33,-3422.33,-962.88,-962.88,-962.88
2025-10-07,-1833.04,-1833.04,-1833.04,-940.94,-1833.04,-940.94
2025-10-08,-1268.32,-1268.32,-1268.32,-1449.58,-1449.58,-1449.58
2025-10-09,-2200.55,-2200.55,-2200.55,-1025.36,-2200.55,-1025.36
2025-10-10,-1805.01,-1805.01,-1805.01,1436.29,-2400.54,840.76
2025-10-15,-918.43,-918.43,0.00,0.00,0.00,0.00
2025-10-16,-2892.77,-2892.77,-2892.77,0.00,-1758.38,0.00
2025-10-21,-3356.49,-3356.49,-2219.31,-587.42,-3356.49,-587.42
2025-10-23,-2069.96,-2069.96,-2069.96,-992.15,0.00,0.00
2025-10-24,607.32,607.32,607.32,0.00,0.00,0.00
2025-10-27,-2433.69,-2433.69,-2433.69,0.00,-1729.55,0.00
2025-10-29,-571.29,-571.29,-583.70,-1797.44,-116.96,-886.65
2025-10-30,-4075.07,-4075.07,-3217.72,-1897.42,-1320.30,0.00
2025-10-31,440.08,440.08,440.08,0.00,0.00,0.00
2025-11-03,-4006.37,-4006.37,-4006.37,-1405.59,-4006.37,-1405.59
2025-11-04,845.66,845.66,845.66,0.00,845.66,0.00
2025-11-06,1297.98,1297.98,1297.98,0.00,-982.01,0.00
2025-11-10,-2084.47,-2084.47,-2084.47,-1287.35,1390.24,1390.24
2025-11-11,-3653.15,-3653.15,-3653.15,-955.10,-2714.79,-955.10
2025-11-12,-411.08,-411.08,-411.08,399.12,-411.08,399.12
2025-11-14,-5312.00,-5312.00,-5312.00,0.00,-1811.44,0.00
2025-11-17,137.41,137.41,137.41,1003.91,137.41,1003.91
2025-11-18,-981.20,-981.20,-981.20,0.00,0.00,0.00
2025-11-19,-2206.93,-2206.93,-2206.93,-2206.93,-2206.93,-2206.93
2025-11-20,-2557.45,-2557.45,-2557.45,-862.22,0.00,0.00
2025-11-24,-1563.50,-1563.50,-1563.50,0.00,-784.20,0.00
2025-11-25,-2144.90,-2144.90,-2144.90,0.00,-2144.90,0.00
2025-11-26,-44.81,-44.81,-44.81,0.00,0.00,0.00
2025-11-27,-1486.72,-1486.72,-1467.78,-929.76,-2054.10,0.00
2025-11-28,-1415.19,-1415.19,-1415.19,-346.70,-346.70,-346.70
2025-12-01,-1645.68,-1645.68,-1645.68,-867.91,-1645.68,-867.91
