date,long_baseline,long_volspike,long_htf,long_confluence,contra_baseline,contra_volspike,contra_htf,contra_confluence
2024-10-29,-109.59,1046.70,0.00,0.00,-221.02,-1198.90,-221.02,0.00
2024-10-30,1407.80,947.29,460.52,0.00,-2380.85,-1476.59,-1476.59,0.00
2024-11-04,2023.99,0.00,0.00,0.00,-2354.49,0.00,-2354.49,0.00
2024-11-05,1611.86,0.00,1611.86,0.00,-1479.20,0.00,-1167.64,0.00
2024-11-07,-1349.25,0.00,-1349.25,0.00,1351.46,0.00,0.00,0.00
2024-11-08,-1342.74,-2146.68,-2275.84,-2146.68,-4308.32,-349.19,-2559.81,0.00
2024-11-11,-387.30,-387.30,631.95,631.95,-2008.38,-2008.38,-1018.39,0.00
2024-11-12,-3295.94,-3122.71,-1188.73,-1015.51,-4185.44,-994.15,20.49,0.00
2024-11-13,-2902.23,-1485.84,-1416.39,0.00,3106.23,1625.64,1625.64,1625.64
2024-11-14,-1300.07,1172.61,-1300.07,1172.61,-2706.15,-2495.43,0.00,0.00
2024-11-19,257.92,257.92,0.00,0.00,-803.26,-803.26,-803.26,0.00
2024-11-21,1755.70,0.00,-168.34,0.00,-2886.31,0.00,-1638.13,0.00
2024-11-22,-1041.42,-1041.42,-1041.42,-1041.42,-1042.31,-1042.31,0.00,0.00
2024-11-25,538.13,538.13,0.00,0.00,-920.48,-920.48,-920.48,0.00
2024-11-27,971.98,0.00,199.48,0.00,-1713.86,0.00,-1060.38,0.00
2024-11-28,-2261.89,1136.31,0.00,0.00,-389.08,-1236.17,-389.08,0.00
2024-11-29,-1866.54,-894.07,0.00,0.00,1047.80,447.81,1047.80,447.81
2024-12-02,-2714.41,-856.43,-1817.74,-856.43,-2716.47,-857.05,-897.34,0.00
2024-12-03,-948.35,0.00,-948.35,0.00,-949.11,0.00,0.00,0.00
2024-12-05,2907.78,2907.78,1759.83,1759.83,-3475.54,-3475.54,-1249.15,0.00
2024-12-06,-4132.03,-2826.86,-2446.25,-1141.08,-1562.30,-2826.05,-1683.92,0.00
2024-12-09,-1316.42,0.00,-1316.42,0.00,1287.52,0.00,0.00,0.00
2024-12-10,-325.55,-1226.51,495.82,0.00,-3696.36,-1227.67,-2100.14,0.00
2024-12-11,-2066.66,385.72,-1259.61,0.00,-442.03,-867.43,-1616.40,0.00
2024-12-16,-1853.70,-1705.04,-863.30,-863.30,-1905.14,-723.53,-1041.22,0.00
2024-12-17,194.11,-336.57,-584.64,-336.57,-3415.90,-211.82,-1062.99,0.00
2024-12-18,-2402.44,-1100.79,-2402.44,-1100.79,-448.01,852.37,0.00,0.00
2024-12-19,-1137.73,-1137.73,-1137.73,0.00,-1136.70,-1136.70,0.00,0.00
2024-12-23,-3178.12,-1109.59,-2071.99,0.00,336.75,868.63,-1107.13,0.00
2024-12-24,-524.33,-1222.95,661.23,0.00,-2195.90,1099.21,-1191.19,0.00
2024-12-26,-1373.50,-1689.31,-1373.50,-1689.31,-3554.68,-1343.83,0.00,0.00
2024-12-27,799.44,0.00,0.00,0.00,-1261.30,0.00,-1261.30,0.00
2024-12-30,-304.28,-36.82,722.25,-36.82,-2547.72,-1097.17,-400.72,0.00
2024-12-31,-2694.60,-1219.31,-2787.02,-1311.73,1579.38,-18.35,-1289.23,0.00
2025-01-01,-531.79,0.00,-531.79,0.00,28.09,0.00,-846.20,0.00
2025-01-02,-265.76,0.00,797.87,0.00,-2137.20,0.00,-1064.56,0.00
2025-01-03,-698.57,-1062.47,-1062.47,-1062.47,-2382.24,-1061.55,-2382.24,0.00
2025-01-06,-1327.90,0.00,-1327.90,0.00,1316.13,0.00,0.00,0.00
2025-01-07,-1414.18,0.00,0.00,0.00,-1412.73,0.00,-1412.73,0.00
2025-01-08,-5462.39,-524.43,-6054.85,-1116.88,-2696.31,-963.11,-2077.21,0.00
2025-01-09,-3545.53,-1220.21,-3545.53,-1220.21,697.31,1105.30,0.00,0.00
2025-01-10,-1533.12,0.00,-583.39,0.00,-2090.87,0.00,-948.98,0.00
2025-01-14,497.54,0.00,497.54,0.00,-917.95,0.00,0.00,0.00
2025-01-15,-4606.10,-2077.41,-3610.73,-1082.04,2177.73,-178.27,-994.56,0.00
2025-01-16,-381.89,0.00,-381.89,0.00,-2078.07,0.00,0.00,0.00
2025-01-17,-1247.77,0.00,0.00,0.00,1152.26,0.00,1152.26,0.00
2025-01-20,1375.55,0.00,668.20,0.00,-2030.54,0.00,-1027.16,0.00
2025-01-22,-865.40,-2223.34,-488.88,-1131.72,-4245.34,-2223.27,-3363.37,0.00
2025-01-23,-4238.46,-2093.91,-1014.43,-1014.43,1392.90,-199.72,2408.18,0.00
