symbol,timeframe,variant,direction,exit_policy,n_signals,mean_net_pts,std_net_pts,median_net_pts,mean_net_pct,std_net_pct,win_rate,avg_win_pct,avg_loss_pct,payoff_ratio,mean_mfe_pct,mean_mae_pct,capture_efficiency,sharpe_score,expectancy_pct
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_2.0,9,2.3354,15.5908,7.9,0.00423,0.023189,66.67,1.8069,-2.3448,0.771,2.4562,1.6725,0.1722,0.12161,0.423
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_2.0R,14,2.1179,11.1635,0.75,0.002374,0.011311,57.14,0.9669,-0.7353,1.315,1.0427,1.0313,0.2277,0.11993,0.2374
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.0R,10,3.525,21.9267,-0.925,0.003209,0.013637,50.0,1.4716,-0.8299,1.773,1.2154,1.1667,0.264,0.11765,0.3209
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_NO,14,2.0964,10.4475,0.75,0.001968,0.009578,57.14,0.8519,-0.6768,1.259,1.0934,1.0313,0.18,0.11739,0.1968
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_1.0,14,2.0964,10.4475,0.75,0.001968,0.009578,57.14,0.8519,-0.6768,1.259,1.0934,1.0313,0.18,0.11739,0.1968
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.5,14,2.0964,10.4475,0.75,0.001968,0.009578,57.14,0.8519,-0.6768,1.259,1.0934,1.0313,0.18,0.11739,0.1968
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_2.0,14,2.0964,10.4475,0.75,0.001968,0.009578,57.14,0.8519,-0.6768,1.259,1.0934,1.0313,0.18,0.11739,0.1968
HINDUNILVR,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_STEP_TRAIL,10,3.615,14.5578,0.0,0.001533,0.005806,40.0,0.6571,-0.1826,3.599,1.4051,1.0266,0.1091,0.10561,0.1533
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.5R,14,1.8518,10.8969,0.75,0.001842,0.010121,57.14,0.8738,-0.7353,1.188,1.0348,1.0313,0.178,0.10398,0.1842
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.0,14,1.9799,10.5148,0.75,0.001722,0.00984,57.14,0.8519,-0.7342,1.16,1.0934,1.02,0.1575,0.09998,0.1722
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_HARD_SL,14,1.7893,10.8457,0.75,0.001717,0.009875,57.14,0.8519,-0.7353,1.159,1.0934,1.0313,0.157,0.09934,0.1717
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_3.0R,14,1.7893,10.8457,0.75,0.001717,0.009875,57.14,0.8519,-0.7353,1.159,1.0934,1.0313,0.157,0.09934,0.1717
BHARTIARTL,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.5,9,1.027,13.9329,-6.7253,0.004175,0.018836,44.44,2.3213,-1.1055,2.1,1.8274,1.2328,0.2285,0.09851,0.4175
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.0R,10,0.87,4.6247,1.7,0.000961,0.00686,70.0,0.4933,-0.8307,0.594,0.5914,0.6452,0.1625,0.09807,0.0961
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.0R,14,2.075,11.4191,0.75,0.00162,0.009522,57.14,0.835,-0.7353,1.136,0.8836,1.0313,0.1834,0.09723,0.162
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_STEP_TRAIL,10,1.005,4.7948,0.0,0.00172,0.007129,40.0,0.7942,-0.2429,3.27,0.7368,0.6054,0.2334,0.09649,0.172
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_R_TARGET_1.0R,6,0.0667,5.8228,-0.075,0.001552,0.008061,50.0,0.9302,-0.6198,1.501,0.9654,0.7405,0.1608,0.09627,0.1552
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_HARD_SL,10,6.6,33.2266,-7.4,0.004304,0.018215,40.0,2.1957,-0.7465,2.941,1.7354,1.1952,0.248,0.09451,0.4304
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.5R,10,0.79,4.9695,0.1,0.001212,0.007875,60.0,0.644,-0.663,0.971,0.7116,0.6684,0.1703,0.09235,0.1212
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_STEP_TRAIL,14,1.1357,10.3579,0.0,0.001744,0.009427,42.86,0.9849,-0.4334,2.272,1.0114,0.9489,0.1724,0.07929,0.1744
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_3.0R,10,1.585,22.747,-7.4,0.001701,0.013356,40.0,1.5451,-0.7465,2.07,1.4814,1.1952,0.1148,0.05094,0.1701
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.5,10,2.9374,36.6918,-7.4,0.00222,0.01996,40.0,2.0618,-1.0045,2.053,1.7354,1.3763,0.1279,0.04449,0.222
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_NO,10,2.575,38.3456,-7.4,0.002221,0.020822,40.0,2.1957,-1.0936,2.008,1.7354,1.3967,0.128,0.04267,0.2221
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_2.0,10,2.575,38.3456,-7.4,0.002221,0.020822,40.0,2.1957,-1.0936,2.008,1.7354,1.3967,0.128,0.04267,0.2221
HINDUNILVR,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.5,13,1.747,24.6841,-3.25,0.000853,0.011581,46.15,0.9082,-0.62,1.465,1.1572,1.3844,0.0737,0.03399,0.0853
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_2.0R,10,0.335,21.0167,-7.4,0.001052,0.012615,40.0,1.3829,-0.7465,1.852,1.4258,1.1952,0.0738,0.03337,0.1052
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.5R,10,-0.29,20.3565,-7.4,0.000728,0.012343,40.0,1.3018,-0.7465,1.744,1.3851,1.1952,0.0526,0.02359,0.0728
KOTAKBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_STEP_TRAIL,10,3.155,29.5178,0.0,0.001625,0.015422,20.0,2.4922,-0.4199,5.935,1.5689,1.1515,0.1036,0.02108,0.1625
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,short,T_STEP_TRAIL,6,0.3417,6.8425,0.0,0.000976,0.007767,16.67,1.7181,-0.2264,7.587,1.1056,0.6587,0.0883,0.02095,0.0976
SBIN,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.0R,12,0.225,6.6098,2.15,0.000578,0.018554,66.67,1.1596,-2.1458,0.54,1.1457,1.7002,0.0505,0.02078,0.0578
SBIN,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_1.0,12,0.7919,6.0783,2.675,0.000505,0.019981,75.0,1.1141,-3.1404,0.355,1.4839,1.7828,0.034,0.01895,0.0505
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_CHANDELIER_1.0,10,0.1523,5.0707,-0.8,0.000242,0.007666,40.0,0.7222,-0.4411,1.637,0.802,0.6835,0.0302,0.01263,0.0242
SBIN,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_R_TARGET_1.5R,12,0.1792,6.5431,2.125,0.000179,0.017951,66.67,1.0998,-2.1458,0.513,1.3185,1.7002,0.0136,0.00665,0.0179
RELIANCE,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,14,-5.7623,2.3034,-5.4795,-0.00535,0.001237,0.0,0.0,-0.535,0.0,0.0475,0.8893,-11.2527,-0.0,-0.535
TCS,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,7,-13.2656,4.1855,-13.3105,-0.005259,0.001136,0.0,0.0,-0.5259,0.0,0.1048,0.8004,-5.0163,-0.0,-0.5259
HDFCBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,10,-2.2669,1.0728,-2.2238,-0.003479,0.001397,0.0,0.0,-0.3479,0.0,0.2768,0.6186,-1.2569,-0.0,-0.3479
INFY,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,12,-6.6965,1.83,-7.1226,-0.006193,0.000964,0.0,0.0,-0.6193,0.0,0.1077,1.3813,-5.7499,-0.0,-0.6193
INFY,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.5,12,-10.5995,4.0552,-11.871,-0.009606,0.002932,0.0,0.0,-0.9606,0.0,0.1077,1.4462,-8.9186,-0.0,-0.9606
ICICIBANK,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,10,-4.0926,1.9527,-3.6867,-0.005563,0.001247,0.0,0.0,-0.5563,0.0,0.0247,1.1925,-22.5015,-0.0,-0.5563
ITC,30min,30min_sma50_cpr1.00_vm2.0_loose_croff_sameday,long,T_ATR_SL_0.3,15,-1.6195,0.48,-1.4411,-0.005278,0.000918,0.0,0.0,-0.5278,0.0,0.1467,1.2704,-3.5991,-0.0,-0.5278
