,close
2025-01-13,23586.8
2025-01-14,23770.6
2025-01-15,23839.25
2025-01-16,23984.55
2025-01-17,23926.0
2025-01-20,24048.8
2025-01-21,23664.75
2025-01-22,23738.4
2025-01-23,23823.25
2025-01-24,23660.2
2025-01-27,23319.95
2025-01-28,23440.05
2025-01-29,23696.25
2025-01-30,23772.5
2025-01-31,24053.45
2025-02-01,24056.65
2025-02-03,23896.15
2025-02-04,24279.65
2025-02-05,24271.35
2025-02-06,24161.0
2025-02-07,24125.5
2025-02-10,23897.0
2025-02-11,23530.8
2025-02-12,23508.35
2025-02-13,23504.85
2025-02-14,23325.15
2025-02-17,23343.15
2025-02-18,23331.4
2025-02-19,23368.55
2025-02-20,23411.4
2025-02-21,23274.05
2025-02-24,23021.7
2025-02-25,22987.15
2025-02-27,22948.3
2025-02-28,22479.45
2025-03-03,22514.2
2025-03-04,22504.9
2025-03-05,22818.8
2025-03-06,23038.8
2025-03-07,23027.7
2025-03-10,22890.75
2025-03-11,22942.7
2025-03-12,22919.9
2025-03-13,22837.85
2025-03-17,22960.8
2025-03-18,23340.4
2025-03-19,23468.35
2025-03-20,23730.7
2025-03-21,23902.1
2025-03-24,24214.2
2025-03-25,24159.9
2025-03-26,23990.4
2025-03-27,24145.05
2025-03-28,24057.35
2025-04-01,23713.8
2025-04-02,23901.85
2025-04-03,23833.3
2025-04-04,23433.25
2025-04-07,22677.9
2025-04-08,23077.65
2025-04-09,22952.45
2025-04-11,23369.25
2025-04-15,23917.4
2025-04-16,24037.25
2025-04-17,24418.35
2025-04-21,24725.8
2025-04-22,24770.45
2025-04-23,24937.0
2025-04-24,24860.9
2025-04-25,24581.3
2025-04-28,24874.0
2025-04-29,24870.4
2025-04-30,24843.8
2025-05-02,24849.2
2025-05-05,25010.2
2025-05-06,24837.45
2025-05-07,24887.2
2025-05-08,24678.0
2025-05-09,24437.55
2025-05-12,25381.4
2025-05-13,25087.1
2025-05-14,25193.3
2025-05-15,25573.05
2025-05-16,25593.1
2025-05-19,25551.5
2025-05-20,25248.65
2025-05-21,25409.1
2025-05-22,25221.9
2025-05-23,25453.0
2025-05-26,25596.5
2025-05-27,25436.35
2025-05-28,25361.1
2025-05-29,25436.3
2025-05-30,25344.25
2025-06-02,25333.65
2025-06-03,25162.05
2025-06-04,25240.65
2025-06-05,25369.75
2025-06-06,25638.8
2025-06-09,25779.45
2025-06-10,25785.5
2025-06-11,25807.1
2025-06-12,25511.55
2025-06-13,25331.35
2025-06-16,25556.75
2025-06-17,25446.7
2025-06-18,25398.05
2025-06-19,25320.45
2025-06-20,25648.8
2025-06-23,25532.95
2025-06-24,25631.6
2025-06-25,25822.35
2025-06-26,26121.1
2025-06-27,26223.6
2025-06-30,26139.5
2025-07-01,26156.1
2025-07-02,26068.05
2025-07-03,26003.0
2025-07-04,26066.65
2025-07-07,26074.55
2025-07-08,26126.05
2025-07-09,26084.0
2025-07-10,25971.35
2025-07-11,25760.8
2025-07-14,25724.15
2025-07-15,25849.15
2025-07-16,25872.2
2025-07-17,25776.45
2025-07-18,25623.5
2025-07-21,25745.35
2025-07-22,25703.9
2025-07-23,25846.0
2025-07-24,25701.9
2025-07-25,25442.1
2025-07-28,25285.0
2025-07-29,25443.65
2025-07-30,25476.05
2025-07-31,25380.5
2025-08-01,25149.6
2025-08-04,25330.2
2025-08-05,25257.95
2025-08-06,25156.35
2025-08-07,25185.15
2025-08-08,24934.05
2025-08-11,25172.2
2025-08-12,25085.4
2025-08-13,25223.25
2025-08-14,25226.25
2025-08-18,25492.35
2025-08-19,25613.3
2025-08-20,25689.3
2025-08-21,25705.1
2025-08-22,25495.6
2025-08-25,25589.7
2025-08-26,25313.5
2025-08-28,25078.5
2025-08-29,25003.05
2025-09-01,25231.2
2025-09-02,25215.05
2025-09-03,25358.9
2025-09-04,25355.15
2025-09-05,25356.85
2025-09-08,25402.0
2025-09-09,25489.2
2025-09-10,25596.95
2025-09-11,25638.75
2025-09-12,25745.1
2025-09-15,25733.55
2025-09-16,25903.55
2025-09-17,25990.45
2025-09-18,26081.85
2025-09-19,26025.85
2025-09-22,25934.5
2025-09-23,25886.0
2025-09-24,25736.35
2025-09-25,25562.0
2025-09-26,25287.1
2025-09-29,25314.85
2025-09-30,25295.15
