variant,symbol,date,direction,or_high,or_low,entry_time,entry,stop,target,qty,rsi_at_entry,vwap_at_entry,gap_pct,exit_time,exit_price,exit_reason,trailed,gross_pnl,cost,net_pnl
target_2.0R,ASIANPAINT,2024-07-24,LONG,2908.95,2886.20,2024-07-24T11:00:00,2910.00,2886.20,2957.60,17,62.84,2898.48,0.0013,2024-07-24T15:20:00,2909.90,EOD,0,-1.70,247.35,-249.05
target_2.0R,AMBUJACEM,2024-07-24,SHORT,693.00,684.00,2024-07-24T11:35:00,683.40,693.00,664.20,73,57.03,687.88,0.0,2024-07-24T15:20:00,682.35,EOD,0,76.65,249.25,-172.60
target_2.0R,ADANIPORTS,2024-07-25,LONG,1477.55,1466.85,2024-07-25T10:10:00,1486.00,1466.85,1524.30,33,58.11,1474.45,-0.0093,2024-07-25T15:20:00,1487.90,EOD,0,62.70,245.35,-182.65
target_2.0R,BAJAJFINSV,2024-07-25,LONG,1578.90,1558.00,2024-07-25T10:10:00,1581.85,1558.00,1629.55,31,24.18,1570.09,-0.0086,2024-07-25T15:20:00,1573.05,EOD,0,-272.80,244.50,-517.30
target_2.0R,BAJAJ-AUTO,2024-07-25,LONG,9064.00,8944.50,2024-07-25T10:30:00,9066.00,8944.50,9309.00,5,47.79,9036.13,-0.0001,2024-07-25T15:20:00,9050.50,EOD,0,-77.50,226.46,-303.96
target_2.0R,AMBUJACEM,2024-07-25,SHORT,685.00,676.20,2024-07-25T12:10:00,675.65,685.00,656.95,74,37.17,679.95,-0.0063,2024-07-25T15:20:00,677.60,EOD,0,-144.30,250.35,-394.65
target_2.0R,BAJAJFINSV,2024-07-30,LONG,1627.50,1595.20,2024-07-30T09:45:00,1628.00,1644.40,1693.60,30,26.82,1612.22,-0.0019,2024-07-30T15:00:00,1644.40,TRAIL,1,492.00,245.43,246.57
target_2.0R,BAJAJ-AUTO,2024-07-30,LONG,9355.50,9277.00,2024-07-30T11:55:00,9359.50,9277.00,9524.50,5,55.9,9355.2,-0.0008,2024-07-30T15:20:00,9329.00,EOD,0,-152.50,233.61,-386.11
target_2.0R,ADANIPORTS,2024-07-30,LONG,1554.60,1540.30,2024-07-30T12:15:00,1555.95,1540.30,1587.25,32,69.24,1544.59,0.0038,2024-07-30T15:20:00,1547.70,EOD,0,-264.00,248.29,-512.29
target_2.0R,ASIANPAINT,2024-07-30,LONG,3018.00,2970.00,2024-07-30T12:35:00,3018.25,2970.00,3114.75,16,66.6,3009.88,0.0064,2024-07-30T15:20:00,3002.80,EOD,0,-247.20,240.84,-488.04
target_2.0R,AMBUJACEM,2024-07-31,SHORT,682.20,676.10,2024-07-31T10:35:00,676.05,682.20,663.75,73,43.44,678.81,0.0049,2024-07-31T12:20:00,682.20,STOP,0,-448.95,247.88,-696.83
target_2.0R,ADANIPORTS,2024-07-31,LONG,1563.75,1547.00,2024-07-31T10:45:00,1564.00,1547.00,1598.00,31,52.31,1557.36,0.007,2024-07-31T15:20:00,1570.10,EOD,0,189.10,242.89,-53.79
target_2.0R,BAJAJ-AUTO,2024-07-31,LONG,9397.00,9343.50,2024-07-31T10:45:00,9419.00,9343.50,9570.00,5,50.64,9383.18,0.0037,2024-07-31T15:20:00,9428.50,EOD,0,47.50,235.59,-188.09
target_2.0R,BAJAJFINSV,2024-07-31,LONG,1652.00,1637.65,2024-07-31T11:10:00,1654.70,1637.65,1688.80,30,48.28,1646.48,0.005,2024-07-31T15:20:00,1652.40,EOD,0,-69.00,248.03,-317.03
target_2.0R,ASIANPAINT,2024-08-01,LONG,3110.00,3062.80,2024-08-01T09:55:00,3118.10,3062.80,3228.70,16,39.63,3095.73,0.0012,2024-08-01T15:20:00,3093.20,EOD,0,-398.40,248.45,-646.85
target_2.0R,BAJAJFINSV,2024-08-01,SHORT,1656.85,1646.55,2024-08-01T10:05:00,1642.55,1656.85,1613.95,30,26.14,1649.4,0.002,2024-08-01T11:20:00,1656.85,STOP,0,-429.00,247.45,-676.45
target_2.0R,ADANIPORTS,2024-08-01,SHORT,1604.95,1575.00,2024-08-01T12:05:00,1574.05,1604.95,1512.25,31,30.13,1590.08,0.007,2024-08-01T15:20:00,1589.05,EOD,0,-465.00,245.14,-710.14
target_2.0R,BAJAJ-AUTO,2024-08-01,SHORT,9600.50,9453.50,2024-08-01T12:55:00,9449.00,9600.50,9146.00,5,32.13,9489.64,0.0186,2024-08-01T15:20:00,9495.50,EOD,0,-232.50,236.81,-469.31
target_2.0R,ADANIPORTS,2024-08-08,SHORT,1547.55,1536.10,2024-08-08T10:05:00,1536.00,1547.55,1512.90,32,73.69,1541.04,-0.0038,2024-08-08T10:25:00,1547.55,STOP,0,-369.60,246.68,-616.28
target_2.0R,BAJAJFINSV,2024-08-08,SHORT,1576.45,1562.45,2024-08-08T10:05:00,1561.40,1553.88,1531.30,32,49.88,1568.09,-0.0057,2024-08-08T14:05:00,1553.88,TRAIL,1,240.80,249.22,-8.42
target_2.0R,ASIANPAINT,2024-08-09,SHORT,3039.00,3012.10,2024-08-09T09:45:00,3010.05,2995.58,2952.15,16,80.57,3020.66,0.0112,2024-08-09T14:10:00,2995.58,TRAIL,1,231.60,240.22,-8.63
target_2.0R,ADANIPORTS,2024-08-09,SHORT,1543.50,1527.20,2024-08-09T10:00:00,1526.90,1543.50,1493.70,32,62.1,1531.54,0.0148,2024-08-09T15:20:00,1536.00,EOD,0,-291.20,245.03,-536.23
target_2.0R,BAJAJFINSV,2024-08-09,SHORT,1559.90,1549.00,2024-08-09T10:00:00,1547.45,1559.90,1522.55,32,45.9,1552.69,0.0129,2024-08-09T14:10:00,1559.90,STOP,0,-398.40,248.59,-646.99
target_2.0R,AMBUJACEM,2024-08-09,SHORT,645.50,640.00,2024-08-09T10:35:00,638.10,634.40,623.30,78,32.22,640.75,0.0102,2024-08-09T15:20:00,632.10,EOD,1,468.00,247.69,220.31
target_2.0R,BAJAJ-AUTO,2024-08-09,SHORT,9533.50,9450.50,2024-08-09T11:15:00,9444.00,9533.50,9265.00,5,56.37,9486.57,0.0124,2024-08-09T15:10:00,9533.50,STOP,0,-447.50,237.22,-684.72
