book,venue,day,dte_trd,cfg,entry_hm,win_end,sl_shape,qty,lots,mode,mgmt,k_actual,k_fwd,misstrike,steps_off,fwd,spot_rec,booked_credit,booked_exit,booked_reason,booked_exit_ts,booked_pnl,rep_a_credit,rep_a_exit,rep_a_reason,rep_a_exit_hm,rep_a_gross,rep_a_net,rep_f_credit,rep_f_exit,rep_f_reason,rep_f_exit_hm,rep_f_gross,rep_f_net,delta_net,dwell_mode
NAS_COMB20,NIFTY,2026-08-25,0,09:16->15:20 SL25,09:16,15:20,25,130,2,REAL,,24150,24150,0,0,24145.5,24147.45,83.25,110.67,SL_DWELL,14:52:07,-3725,83.4,108.1,SL,14:52,-3211,-4954,83.4,108.1,SL,14:52,-3211,-4954,0,TOUCH
CSL30F_SENSEX,SENSEX,2026-08-25,2,09:16->15:20 SL20,09:16,15:20,20,60,3,PAPER,,77200,77200,0,0,77247.8,77172.52,583.85,720.1,SL_DWELL,14:52:07,-8335,574.1,690.75,SL,14:50,-6999,-7881,574.1,690.75,SL,14:50,-6999,-7881,0,TOUCH
NAS_C20_SHIFT,NIFTY,2026-08-25,0,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24200,24150,1,-1,24145.5,24147.45,88.3,81.25,TIME_EXIT,15:20:04,-1535,97.55,87.15,TIME,15:20,1352,1264,83.4,108.1,SL,14:52,-3211,-4954,-6218,TOUCH
CSL_TIMEB_SENSEX,SENSEX,2026-08-26,1,10:30->12:00 SL20,10:30,12:00,20,160,8,REAL,,77700,77900,1,2,77868.8,77737.28,419.67,404.41,TIME_EXIT,12:00:09,2282,422.3,403.45,TIME,12:00,3016,2758,388.5,398.2,TIME,12:00,-1552,-1801,-4560,TOUCH
CSL30F_SENSEX_WED,SENSEX,2026-08-26,1,09:16->15:20 SL30,09:16,15:20,30,60,3,REAL,,77900,78000,1,1,78007.35,77903.03,411.77,373.85,TIME_EXIT,15:20:05,2115,417.85,375.85,TIME,15:20,2520,2425,404.3,412.5,TIME,15:20,-492,-587,-3012,TOUCH
CSL30F_NIFTY,NIFTY,2026-08-26,4,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24350,24450,1,2,24427.45,24337.3,227.5,214.75,TIME_EXIT,15:20:05,1498,229.45,214.2,TIME,15:20,1982,1862,216.0,218.6,TIME,15:20,-338,-456,-2318,TOUCH
CSL30F_SENSEX,SENSEX,2026-08-26,1,09:16->15:20 SL20,09:16,15:20,20,60,3,PAPER,,77900,78000,1,1,78007.35,77903.03,416.0,374.25,TIME_EXIT,15:20:06,2345,417.85,375.85,TIME,15:20,2520,2425,404.3,412.5,TIME,15:20,-492,-587,-3012,TOUCH
NAS_C20_TRAIL,NIFTY,2026-08-26,4,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,trail,24350,24450,1,2,24427.45,24337.3,227.6,214.75,TIME_EXIT,15:20:06,1510,229.45,214.2,TIME,15:20,1982,1862,216.0,218.6,TIME,15:20,-338,-456,-2318,TOUCH
NAS_C20_SHIFT,NIFTY,2026-08-26,4,09:16->15:20 SL20,09:16,15:20,20,130,2,PAPER,shift,24350,24450,1,2,24427.45,24337.3,227.6,214.75,TIME_EXIT,15:20:06,1510,229.45,214.2,TIME,15:20,1982,1862,216.0,218.6,TIME,15:20,-338,-456,-2318,TOUCH
CSL_TIMEB_NIFTY,NIFTY,2026-08-14,2,10:00->12:00 SL20,10:00,12:00,20,130,2,PAPER,,24350,24350,0,0,24374.25,24343.55,183.2,174.05,TIME_EXIT,12:00:04,1029,183.75,173.7,TIME,12:00,1307,1197,183.75,173.7,TIME,12:00,1307,1197,0,DWELL2
CSL_TIMEB_SENSEX,SENSEX,2026-08-14,4,10:30->12:00 SL20,10:30,12:00,20,120,6,PAPER,,77800,77900,1,1,77942.5,77787.14,826.4,809.25,TIME_EXIT,12:00:04,1898,826.1,808.3,TIME,12:00,2136,1852,815.3,800.6,TIME,12:00,1764,1482,-370,DWELL2
NAS_COMB20,NIFTY,2026-08-14,2,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24350,1,1,24370.1,24329.0,202.05,197.25,TIME_EXIT,15:20:01,464,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,DWELL2
CSL30F_NIFTY,NIFTY,2026-08-14,2,09:16->15:20 SL30,09:16,15:20,30,130,2,PAPER,,24300,24350,1,1,24370.1,24329.0,201.45,198.4,TIME_EXIT,15:20:01,236,200.7,198.55,TIME,15:20,279,166,192.1,178.2,TIME,15:20,1807,1696,1530,DWELL2
