symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
DELTACORP,vwap_v,short,442,212,0.4198,0.7307,-0.3644,1.451,5.259,2.574,20.21
DIXON,vwap_v,long,442,248,0.371,0.8244,-0.3886,1.251,4.241,1.58,15.22
DIXON,vwap_v,short,442,244,0.3443,0.8021,-0.379,1.111,11.054,0.738,6.74
DMART,vwap_v,long,442,242,0.3636,0.6774,-0.3829,1.011,7.703,0.075,0.64
DMART,vwap_v,short,442,234,0.3974,0.6996,-0.3711,1.244,7.591,1.495,12.74
ECLERX,vwap_v,long,442,223,0.3004,0.9141,-0.3858,1.018,6.733,0.123,1.06
ECLERX,vwap_v,short,442,246,0.3699,0.8884,-0.3966,1.315,9.779,1.943,19.37
EDELWEISS,vwap_v,long,442,230,0.3174,0.9118,-0.3954,1.072,7.6,0.494,4.48
EDELWEISS,vwap_v,short,442,248,0.3387,0.9003,-0.3974,1.16,10.876,1.055,10.46
EIDPARRY,vwap_v,long,442,252,0.254,0.826,-0.3889,0.723,24.062,-2.287,-20.25
EIDPARRY,vwap_v,short,442,225,0.3333,0.829,-0.3851,1.076,7.198,0.514,4.42
EIHOTEL,vwap_v,long,442,254,0.3622,0.8872,-0.3905,1.29,8.275,1.805,18.36
EIHOTEL,vwap_v,short,442,249,0.3534,0.8623,-0.3914,1.204,8.649,1.306,12.86
ELGIEQUIP,vwap_v,long,442,229,0.2445,0.8798,-0.3862,0.737,18.337,-2.148,-17.55
ELGIEQUIP,vwap_v,short,442,233,0.3391,0.7968,-0.3829,1.068,9.424,0.458,3.98
EMAMILTD,vwap_v,long,442,273,0.3077,0.8906,-0.3823,1.035,11.571,0.244,2.55
EMAMILTD,vwap_v,short,442,237,0.3797,0.8049,-0.3877,1.271,7.874,1.682,15.46
ENDURANCE,vwap_v,long,442,245,0.3102,0.9065,-0.396,1.029,14.045,0.206,1.97
ENDURANCE,vwap_v,short,442,254,0.3583,0.8368,-0.3917,1.192,7.292,1.245,12.29
ENGINERSIN,vwap_v,long,442,214,0.2897,0.889,-0.3964,0.915,12.138,-0.632,-5.14
ENGINERSIN,vwap_v,short,442,228,0.4123,0.9091,-0.397,1.606,6.8,3.384,32.26
ERIS,vwap_v,long,442,265,0.283,0.8468,-0.3863,0.865,16.277,-1.017,-9.89
ERIS,vwap_v,short,442,238,0.2731,0.8297,-0.3899,0.8,16.031,-1.577,-13.52
ESCORTS,vwap_v,long,442,262,0.3282,0.7922,-0.3905,0.991,11.863,-0.062,-0.6
ESCORTS,vwap_v,short,442,244,0.3975,0.7443,-0.3889,1.263,5.033,1.621,15.02
EXIDEIND,vwap_v,long,442,263,0.3536,0.7316,-0.3869,1.034,9.229,0.238,2.27
EXIDEIND,vwap_v,short,442,252,0.3492,0.7526,-0.3778,1.069,11.11,0.46,4.27
FDC,vwap_v,long,442,284,0.2852,0.8902,-0.3917,0.907,10.769,-0.692,-7.4
