symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
CRISIL,multi_bar,long,442,270,0.3037,0.8451,-0.3912,0.942,11.282,-0.419,-4.24
CRISIL,multi_bar,short,442,68,0.3088,0.8568,-0.3843,0.996,4.283,-0.027,-0.07
CROMPTON,multi_bar,long,442,296,0.2635,0.7982,-0.3845,0.743,30.78,-2.099,-21.57
CROMPTON,multi_bar,short,442,64,0.4219,0.8493,-0.3844,1.612,2.2,3.349,8.71
CUB,multi_bar,long,442,299,0.3746,0.9062,-0.3918,1.385,6.859,2.32,28.22
CUB,multi_bar,short,442,62,0.4032,0.9383,-0.3974,1.595,4.0,3.337,8.76
CYIENT,multi_bar,long,442,261,0.318,0.7996,-0.3887,0.959,17.51,-0.291,-2.83
CYIENT,multi_bar,short,442,71,0.3239,0.8332,-0.3927,1.017,5.124,0.116,0.31
DALBHARAT,multi_bar,long,442,302,0.3146,0.7953,-0.3782,0.965,12.326,-0.249,-2.74
DALBHARAT,multi_bar,short,442,71,0.338,0.6828,-0.3817,0.914,4.75,-0.62,-1.55
DBL,multi_bar,long,442,248,0.25,0.9306,-0.3964,0.783,18.432,-1.753,-16.04
DBL,multi_bar,short,442,84,0.369,0.877,-0.3926,1.307,3.454,1.878,6.38
DCBBANK,multi_bar,long,442,278,0.3022,0.8106,-0.388,0.905,14.795,-0.701,-7.18
DCBBANK,multi_bar,short,442,71,0.4085,0.8918,-0.3954,1.557,3.808,3.129,9.25
DCMSHRIRAM,multi_bar,long,442,273,0.2711,0.8631,-0.3952,0.812,16.783,-1.484,-14.78
DCMSHRIRAM,multi_bar,short,442,75,0.3067,0.9182,-0.4,1.015,4.412,0.108,0.32
DEEPAKNTR,multi_bar,long,442,261,0.3295,0.8318,-0.3821,1.07,15.456,0.471,4.67
DEEPAKNTR,multi_bar,short,442,82,0.439,0.6566,-0.3796,1.354,4.058,2.04,6.18
DELTACORP,multi_bar,long,442,220,0.2909,0.8767,-0.3863,0.931,13.086,-0.502,-4.15
DELTACORP,multi_bar,short,442,93,0.3978,0.842,-0.3801,1.463,2.776,2.676,9.86
DIXON,multi_bar,long,442,301,0.3654,0.7874,-0.3922,1.156,8.821,1.022,11.7
DIXON,multi_bar,short,442,77,0.3766,0.8595,-0.3982,1.304,3.679,1.906,5.81
DMART,multi_bar,long,442,280,0.3679,0.7465,-0.3865,1.124,9.362,0.815,8.48
DMART,multi_bar,short,442,92,0.4891,0.7875,-0.3952,1.908,3.952,4.563,16.86
ECLERX,multi_bar,long,442,277,0.3249,0.9552,-0.391,1.176,6.526,1.153,12.85
ECLERX,multi_bar,short,442,80,0.3625,0.8613,-0.3979,1.231,5.497,1.463,4.68
EDELWEISS,multi_bar,long,442,277,0.2671,0.9473,-0.3937,0.877,16.749,-0.933,-9.81
EDELWEISS,multi_bar,short,442,79,0.2911,0.9021,-0.4,0.926,5.652,-0.543,-1.65
EIDPARRY,multi_bar,long,442,281,0.3132,0.9027,-0.3879,1.061,9.431,0.418,4.57
EIDPARRY,multi_bar,short,442,70,0.4714,0.8257,-0.4,1.841,2.2,4.298,12.45
EIHOTEL,multi_bar,long,442,265,0.3283,0.9114,-0.3916,1.138,9.355,0.914,9.59
EIHOTEL,multi_bar,short,442,80,0.4375,0.8854,-0.3864,1.782,2.6,4.094,13.6
ELGIEQUIP,multi_bar,long,442,245,0.2571,0.8686,-0.3921,0.767,19.822,-1.882,-16.65
ELGIEQUIP,multi_bar,short,442,78,0.4231,0.8287,-0.3923,1.549,2.4,3.091,9.69
EMAMILTD,multi_bar,long,442,300,0.2833,0.8436,-0.3856,0.865,14.275,-1.019,-11.2
EMAMILTD,multi_bar,short,442,59,0.3559,0.7994,-0.3902,1.132,3.091,0.862,1.96
ENDURANCE,multi_bar,long,442,278,0.2482,0.8742,-0.3934,0.734,27.399,-2.207,-21.91
ENDURANCE,multi_bar,short,442,76,0.4342,0.8588,-0.3962,1.663,4.233,3.629,11.3
ENGINERSIN,multi_bar,long,442,239,0.2971,0.8886,-0.3956,0.949,11.766,-0.367,-3.37
ENGINERSIN,multi_bar,short,442,92,0.4457,0.9365,-0.3958,1.902,4.0,4.612,18.21
ERIS,multi_bar,long,442,264,0.2727,0.8398,-0.3926,0.802,21.929,-1.559,-14.92
ERIS,multi_bar,short,442,78,0.3846,0.8499,-0.3831,1.386,6.675,2.273,7.11
ESCORTS,multi_bar,long,442,298,0.3221,0.7921,-0.3862,0.975,12.141,-0.179,-1.97
ESCORTS,multi_bar,short,442,75,0.24,0.8878,-0.3937,0.712,7.948,-2.412,-6.46
EXIDEIND,multi_bar,long,442,297,0.3535,0.7034,-0.3808,1.01,10.378,0.071,0.75
EXIDEIND,multi_bar,short,442,70,0.4143,0.9259,-0.3682,1.779,3.156,4.054,11.75
FDC,multi_bar,long,442,265,0.3057,0.9343,-0.3912,1.051,5.353,0.354,3.69
FDC,multi_bar,short,442,67,0.3284,0.8435,-0.3913,1.054,3.0,0.363,0.95
FINCABLES,multi_bar,long,442,268,0.3022,0.9307,-0.3863,1.044,10.954,0.303,3.16
FINCABLES,multi_bar,short,442,80,0.375,0.8459,-0.3839,1.322,3.993,1.945,6.18
FINPIPE,multi_bar,long,442,279,0.2832,0.8235,-0.389,0.836,22.684,-1.257,-12.73
FINPIPE,multi_bar,short,442,83,0.3494,0.8148,-0.3936,1.112,5.938,0.746,2.38
FORTIS,multi_bar,long,442,297,0.3333,0.8852,-0.3913,1.131,11.608,0.875,10.16
FORTIS,multi_bar,short,442,71,0.2958,0.6974,-0.3945,0.743,6.055,-2.071,-5.08
FSL,multi_bar,long,442,268,0.3134,0.9252,-0.3921,1.077,5.919,0.528,5.57
FSL,multi_bar,short,442,96,0.3125,0.9793,-0.4,1.113,8.592,0.765,2.98
GARFIBRES,multi_bar,long,442,259,0.2432,0.9509,-0.3959,0.772,22.231,-1.847,-17.69
GARFIBRES,multi_bar,short,442,63,0.254,1.0,-0.3755,0.907,4.821,-0.684,-1.65
GESHIP,multi_bar,long,442,251,0.3108,0.8771,-0.394,1.004,7.258,0.025,0.24
GESHIP,multi_bar,short,442,86,0.3721,0.8241,-0.3788,1.289,3.487,1.775,5.91
GHCL,multi_bar,long,442,244,0.2746,0.9034,-0.3918,0.873,12.988,-0.963,-8.82
GHCL,multi_bar,short,442,65,0.3846,0.8259,-0.3922,1.316,3.9,1.933,4.96
GICRE,multi_bar,long,442,245,0.2857,0.835,-0.3977,0.84,17.004,-1.235,-11.15
GICRE,multi_bar,short,442,90,0.3778,0.9127,-0.4,1.385,4.497,2.309,8.63
GILLETTE,multi_bar,long,442,260,0.2962,0.9106,-0.3903,0.982,5.823,-0.132,-1.32
GILLETTE,multi_bar,short,442,66,0.3939,0.8012,-0.392,1.328,3.143,1.984,5.15
GLENMARK,multi_bar,long,442,320,0.2969,0.7878,-0.3829,0.869,18.573,-0.989,-11.32
GLENMARK,multi_bar,short,442,62,0.2581,0.8934,-0.3842,0.809,6.805,-1.477,-3.38
GMDCLTD,multi_bar,long,442,244,0.3115,0.9418,-0.4,1.065,9.076,0.45,4.38
GMDCLTD,multi_bar,short,442,113,0.3717,0.9094,-0.3949,1.362,5.4,2.208,10.16
GNFC,multi_bar,long,442,288,0.3507,0.7996,-0.385,1.122,8.624,0.801,8.77
GNFC,multi_bar,short,442,71,0.3803,0.8026,-0.3786,1.301,3.397,1.821,5.01
GODFRYPHLP,multi_bar,long,442,248,0.3105,0.9662,-0.3972,1.095,9.008,0.65,6.47
GODFRYPHLP,multi_bar,short,442,85,0.3176,0.9314,-0.4,1.084,5.4,0.573,1.95
GODREJAGRO,multi_bar,long,442,261,0.2835,0.9032,-0.3948,0.905,17.504,-0.706,-6.98
GODREJAGRO,multi_bar,short,442,70,0.3143,0.977,-0.3845,1.165,2.845,1.073,3.04
GODREJCP,multi_bar,long,442,307,0.3844,0.7171,-0.3838,1.166,7.018,1.069,12.08
GODREJCP,multi_bar,short,442,54,0.2037,0.7562,-0.3683,0.525,8.335,-4.577,-7.52
GODREJIND,multi_bar,long,442,264,0.322,0.926,-0.387,1.136,7.861,0.903,9.44
GODREJIND,multi_bar,short,442,62,0.371,0.9779,-0.3929,1.468,2.6,2.733,7.17
GPPL,multi_bar,long,442,252,0.246,0.8011,-0.3887,0.673,25.174,-2.828,-24.17
GPPL,multi_bar,short,442,88,0.375,0.8304,-0.3869,1.288,7.611,1.765,6.13
GRANULES,multi_bar,long,442,287,0.3659,0.8868,-0.3921,1.305,7.609,1.886,21.75
GRANULES,multi_bar,short,442,88,0.2727,0.8516,-0.3963,0.806,9.2,-1.544,-4.93
GRAPHITE,multi_bar,long,442,249,0.2972,0.9325,-0.3989,0.988,15.051,-0.083,-0.81
GRAPHITE,multi_bar,short,442,114,0.3772,0.9021,-0.4,1.366,4.2,2.229,10.39
GRINDWELL,multi_bar,long,442,254,0.3228,0.8878,-0.3874,1.093,6.865,0.624,6.17
GRINDWELL,multi_bar,short,442,54,0.2593,1.0,-0.4,0.875,5.8,-0.949,-2.0
GSFC,multi_bar,long,442,260,0.2808,0.8194,-0.3939,0.812,17.79,-1.476,-13.84
GSFC,multi_bar,short,442,108,0.3889,0.8039,-0.3989,1.282,5.65,1.767,7.43
GSPL,multi_bar,long,442,255,0.298,0.8235,-0.3878,0.902,14.225,-0.73,-6.83
GSPL,multi_bar,short,442,72,0.2778,0.7994,-0.3827,0.803,9.32,-1.515,-3.91
GUJGASLTD,multi_bar,long,442,277,0.3105,0.8039,-0.3854,0.939,11.964,-0.442,-4.48
GUJGASLTD,multi_bar,short,442,84,0.3095,0.8771,-0.3931,1.0,6.5,0.001,0.0
GULFOILLUB,multi_bar,long,442,259,0.2934,0.9062,-0.3943,0.954,13.405,-0.332,-3.29
GULFOILLUB,multi_bar,short,442,61,0.4098,0.937,-0.4,1.627,2.556,3.468,9.03
HDFCAMC,multi_bar,long,442,312,0.3045,0.7825,-0.3826,0.895,18.818,-0.774,-8.69
HDFCAMC,multi_bar,short,442,70,0.3429,0.7715,-0.396,1.017,3.611,0.115,0.3
HEG,multi_bar,long,442,247,0.2874,0.9652,-0.4,0.973,12.17,-0.192,-1.87
HEG,multi_bar,short,442,115,0.3652,0.9318,-0.3929,1.365,4.2,2.217,10.46
HEIDELBERG,multi_bar,long,442,217,0.3364,0.8666,-0.3857,1.139,7.118,0.923,7.72
HEIDELBERG,multi_bar,short,442,78,0.3205,0.8112,-0.3873,0.988,4.584,-0.084,-0.24
HERITGFOOD,multi_bar,long,442,243,0.2881,0.9298,-0.3854,0.976,16.681,-0.17,-1.58
HERITGFOOD,multi_bar,short,442,91,0.3407,0.8279,-0.387,1.105,6.62,0.697,2.45
HFCL,multi_bar,long,442,260,0.2615,0.9309,-0.3972,0.83,18.584,-1.33,-12.96
HFCL,multi_bar,short,442,102,0.4314,1.0,-0.4,1.897,2.6,4.646,20.8
