symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
GMDCLTD,failed_breakout,short,442,210,0.3143,0.9159,-0.3939,1.066,12.608,0.451,3.72
GMDCLTD,failed_breakout,long,442,204,0.2549,1.0,-0.3987,0.858,15.805,-1.096,-8.61
GNFC,failed_breakout,short,442,206,0.3738,0.818,-0.3895,1.254,4.8,1.596,12.74
GNFC,failed_breakout,long,442,208,0.2692,0.8559,-0.3947,0.799,15.662,-1.593,-12.06
GODFRYPHLP,failed_breakout,short,442,147,0.3537,0.9875,-0.4,1.351,4.827,2.162,13.35
GODFRYPHLP,failed_breakout,long,442,169,0.3373,0.9841,-0.4,1.252,5.6,1.607,11.29
GODREJAGRO,failed_breakout,short,442,211,0.3555,0.8576,-0.3962,1.194,8.773,1.256,10.44
GODREJAGRO,failed_breakout,long,442,192,0.2396,0.9677,-0.3958,0.77,14.984,-1.863,-13.27
GODREJCP,failed_breakout,short,442,203,0.2906,0.7992,-0.3883,0.843,14.89,-1.21,-8.77
GODREJCP,failed_breakout,long,442,208,0.3413,0.7914,-0.3882,1.057,6.774,0.387,3.01
GODREJIND,failed_breakout,short,442,210,0.2952,0.8982,-0.3957,0.951,8.866,-0.358,-2.88
GODREJIND,failed_breakout,long,442,185,0.3081,0.8834,-0.3956,0.994,12.995,-0.039,-0.28
GPPL,failed_breakout,short,442,202,0.3713,0.852,-0.3876,1.298,6.172,1.841,14.67
GPPL,failed_breakout,long,442,187,0.2032,0.8808,-0.3975,0.565,26.357,-4.111,-25.76
GRANULES,failed_breakout,short,442,238,0.2857,0.9365,-0.3983,0.94,7.796,-0.439,-4.03
GRANULES,failed_breakout,long,442,236,0.2839,0.862,-0.3966,0.862,16.341,-1.055,-9.27
GRAPHITE,failed_breakout,short,442,223,0.3453,0.9253,-0.3982,1.226,7.135,1.455,13.11
GRAPHITE,failed_breakout,long,442,209,0.2632,0.9671,-0.3975,0.869,12.621,-1.003,-8.02
GRINDWELL,failed_breakout,short,442,177,0.2768,0.8576,-0.3947,0.832,11.976,-1.307,-8.5
GRINDWELL,failed_breakout,long,442,191,0.3037,0.9169,-0.3893,1.027,9.516,0.19,1.41
GSFC,failed_breakout,short,442,209,0.3923,0.82,-0.3939,1.344,3.537,2.081,17.21
GSFC,failed_breakout,long,442,198,0.2273,0.8989,-0.3968,0.666,24.866,-2.916,-20.27
GSPL,failed_breakout,short,442,182,0.4011,0.8603,-0.3906,1.475,3.2,2.75,20.23
GSPL,failed_breakout,long,442,166,0.2651,0.8565,-0.3953,0.781,15.788,-1.752,-10.54
GUJGASLTD,failed_breakout,short,442,196,0.3571,0.8988,-0.3889,1.284,3.353,1.768,13.92
GUJGASLTD,failed_breakout,long,442,193,0.285,0.837,-0.3972,0.84,12.986,-1.241,-8.78
GULFOILLUB,failed_breakout,short,442,185,0.3189,0.8214,-0.3975,0.968,7.4,-0.232,-1.62
GULFOILLUB,failed_breakout,long,442,189,0.3228,0.9362,-0.3948,1.13,12.546,0.871,6.57
HDFCAMC,failed_breakout,short,442,226,0.385,0.762,-0.3806,1.253,5.129,1.577,13.39
HDFCAMC,failed_breakout,long,442,239,0.3431,0.8059,-0.3947,1.066,7.543,0.452,4.11
HEG,failed_breakout,short,442,210,0.2905,0.9458,-0.3983,0.972,17.23,-0.201,-1.65
HEG,failed_breakout,long,442,193,0.2694,0.9853,-0.4,0.908,12.6,-0.688,-5.16
HEIDELBERG,failed_breakout,short,442,178,0.3652,0.7602,-0.3874,1.129,6.269,0.845,5.64
