symbol,pattern,direction,n_sessions,n_trades,win_rate,avg_win,avg_loss,profit_factor,max_dd_pct,sharpe,total_return_pct
CARERATING,compression,long,442,292,0.2945,0.9129,-0.3934,0.969,14.019,-0.226,-2.54
CARERATING,compression,short,442,99,0.3939,0.8891,-0.3976,1.453,3.167,2.651,10.82
CASTROLIND,compression,long,442,259,0.3243,0.6206,-0.3778,0.788,14.309,-1.624,-13.98
CASTROLIND,compression,short,442,138,0.5145,0.6878,-0.3567,2.044,2.4,4.839,24.94
CCL,compression,long,442,272,0.2721,0.9032,-0.3934,0.858,16.562,-1.089,-11.06
CCL,compression,short,442,101,0.3564,0.8007,-0.3753,1.182,5.853,1.158,4.43
CDSL,compression,long,442,243,0.321,0.8215,-0.3978,0.976,9.265,-0.172,-1.57
CDSL,compression,short,442,127,0.4252,0.7051,-0.3773,1.383,3.761,2.23,10.53
CEATLTD,compression,long,442,260,0.3769,0.8563,-0.39,1.328,6.193,1.996,20.74
CEATLTD,compression,short,442,103,0.3592,0.8718,-0.3915,1.248,3.0,1.568,6.42
CENTRALBK,compression,long,442,249,0.3052,0.8198,-0.3865,0.932,13.615,-0.5,-4.57
CENTRALBK,compression,short,442,114,0.4386,0.6731,-0.3901,1.348,3.2,2.101,8.69
CENTURYPLY,compression,long,442,309,0.2686,0.8148,-0.3955,0.757,30.665,-1.989,-21.76
CENTURYPLY,compression,short,442,101,0.2475,0.7504,-0.3896,0.634,12.959,-3.227,-10.85
CERA,compression,long,442,294,0.3299,0.7849,-0.3758,1.028,11.517,0.192,2.09
CERA,compression,short,442,106,0.3396,0.6273,-0.3464,0.931,3.726,-0.482,-1.67
CESC,compression,long,442,271,0.31,0.7429,-0.3927,0.85,16.389,-1.143,-11.04
CESC,compression,short,442,104,0.4231,0.8237,-0.3748,1.612,3.416,3.341,13.75
CGCL,compression,long,442,265,0.2415,0.8972,-0.3962,0.721,25.957,-2.335,-22.21
CGCL,compression,short,442,129,0.4109,0.9131,-0.394,1.616,5.173,3.42,18.45
CHALET,compression,long,442,268,0.3507,0.9351,-0.3842,1.315,5.919,1.937,21.05
CHALET,compression,short,442,99,0.3939,0.8189,-0.3766,1.413,3.621,2.387,9.34
CHAMBLFERT,compression,long,442,285,0.3158,0.7863,-0.3932,0.923,12.323,-0.563,-5.91
CHAMBLFERT,compression,short,442,112,0.3125,0.7507,-0.3915,0.872,5.479,-0.984,-3.87
CHENNPETRO,compression,long,442,205,0.2732,0.9243,-0.3942,0.881,10.856,-0.9,-6.98
CHENNPETRO,compression,short,442,86,0.3837,0.7948,-0.3887,1.273,7.072,1.703,5.63
CHOLAHLDNG,compression,long,442,241,0.39,0.945,-0.393,1.538,5.098,3.079,31.06
CHOLAHLDNG,compression,short,442,86,0.3953,0.844,-0.4,1.38,4.748,2.265,7.9
COCHINSHIP,compression,long,442,173,0.3353,0.8418,-0.3854,1.102,7.911,0.68,4.5
COCHINSHIP,compression,short,442,100,0.38,0.8076,-0.3912,1.265,3.4,1.65,6.43
CONCOR,compression,long,442,298,0.3389,0.7127,-0.3844,0.951,11.668,-0.354,-3.74
CONCOR,compression,short,442,119,0.4538,0.6966,-0.3791,1.527,2.719,2.905,12.98
COROMANDEL,compression,long,442,305,0.3574,0.8789,-0.3922,1.246,8.298,1.558,18.93
COROMANDEL,compression,short,442,94,0.4362,0.8934,-0.3949,1.75,2.0,3.999,15.7
CREDITACC,compression,long,442,256,0.3086,0.8873,-0.3884,1.02,11.554,0.138,1.36
CREDITACC,compression,short,442,90,0.2889,0.7983,-0.3903,0.831,9.244,-1.291,-4.22
CRISIL,compression,long,442,285,0.3579,0.8438,-0.39,1.206,9.979,1.321,14.71
CRISIL,compression,short,442,100,0.4,0.7973,-0.3719,1.429,5.829,2.469,9.58
CROMPTON,compression,long,442,289,0.3218,0.7814,-0.3823,0.97,18.013,-0.214,-2.26
CROMPTON,compression,short,442,104,0.4135,0.7742,-0.3784,1.442,2.6,2.521,10.21
CUB,compression,long,442,300,0.3433,0.8247,-0.3881,1.111,7.242,0.741,8.48
CUB,compression,short,442,106,0.3868,0.7836,-0.4,1.236,7.684,1.496,6.13
CYIENT,compression,long,442,272,0.3015,0.8123,-0.3924,0.893,14.574,-0.794,-7.95
CYIENT,compression,short,442,107,0.3738,0.7374,-0.3859,1.141,5.934,0.912,3.64
DALBHARAT,compression,long,442,335,0.391,0.7744,-0.3702,1.343,4.532,2.035,25.93
DALBHARAT,compression,short,442,125,0.336,0.7525,-0.3825,0.996,7.544,-0.031,-0.14
DBL,compression,long,442,243,0.3086,0.9141,-0.3891,1.049,6.718,0.337,3.19
DBL,compression,short,442,119,0.3361,0.8362,-0.3967,1.067,3.836,0.465,2.11
DCBBANK,compression,long,442,285,0.3158,0.8307,-0.3864,0.992,9.478,-0.054,-0.58
DCBBANK,compression,short,442,114,0.3596,0.749,-0.373,1.128,5.707,0.825,3.48
DCMSHRIRAM,compression,long,442,311,0.2605,0.8842,-0.3915,0.795,25.436,-1.625,-18.41
DCMSHRIRAM,compression,short,442,83,0.3494,0.887,-0.3926,1.213,3.6,1.368,4.52
DEEPAKNTR,compression,long,442,282,0.3546,0.7596,-0.3812,1.095,9.883,0.629,6.58
DEEPAKNTR,compression,short,442,110,0.4,0.6273,-0.3548,1.179,7.518,1.094,4.18
DELTACORP,compression,long,442,242,0.2975,0.8291,-0.3779,0.929,15.541,-0.512,-4.55
DELTACORP,compression,short,442,119,0.437,0.6962,-0.3796,1.423,3.85,2.44,10.77
DIXON,compression,long,442,274,0.3212,0.7401,-0.3789,0.924,14.615,-0.549,-5.34
