label,universe,top_n,cash_leg,roc,ma,cost_bps,cagr,sharpe,sortino,max_drawdown,calmar,vol,turnover_annual,pct_in_cash,n_months,start,end,final_mult
ext5_top2_nocash_blend_ma6,ext5,2,False,blend,ma6,20.0,14.29,0.939,1.454,-22.38,0.639,15.57,2.69,0.0,125,2016-02-29,2026-06-30,4.021
ext5_top2_nocash_blend_noma,ext5,2,False,blend,noma,20.0,14.29,0.939,1.454,-22.38,0.639,15.57,2.69,0.0,125,2016-02-29,2026-06-30,4.021
ext5_top2_nocash_blend_ma10,ext5,2,False,blend,ma10,20.0,14.29,0.939,1.454,-22.38,0.639,15.57,2.69,0.0,125,2016-02-29,2026-06-30,4.021
ext5_top2_cash_roc12_ma6,ext5,2,True,roc12,ma6,20.0,12.08,0.92,1.418,-23.36,0.517,13.42,3.55,8.4,125,2016-02-29,2026-06-30,3.28
ext5_top2_cash_roc12_noma,ext5,2,True,roc12,noma,20.0,11.66,0.797,1.251,-22.61,0.516,15.36,2.54,0.8,125,2016-02-29,2026-06-30,3.155
ext5_top2_cash_roc12_ma10,ext5,2,True,roc12,ma10,20.0,13.95,0.944,1.43,-19.45,0.717,15.1,2.83,2.0,125,2016-02-29,2026-06-30,3.897
ext5_top2_cash_roc6_ma6,ext5,2,True,roc6,ma6,20.0,12.99,0.977,1.708,-21.87,0.594,13.47,3.07,10.3,131,2015-08-31,2026-06-30,3.794
ext5_top2_cash_roc6_noma,ext5,2,True,roc6,noma,20.0,14.36,0.932,1.584,-25.16,0.571,15.79,2.75,2.7,131,2015-08-31,2026-06-30,4.329
ext5_top2_cash_roc6_ma10,ext5,2,True,roc6,ma10,20.0,13.95,0.903,1.535,-25.16,0.555,15.91,2.88,3.5,127,2015-12-31,2026-06-30,3.984
ext5_top2_cash_blend_ma6,ext5,2,True,blend,ma6,20.0,12.28,0.912,1.428,-23.26,0.528,13.79,3.41,6.4,125,2016-02-29,2026-06-30,3.342
ext5_top2_cash_blend_noma,ext5,2,True,blend,noma,20.0,13.81,0.913,1.41,-22.6,0.611,15.54,2.74,0.4,125,2016-02-29,2026-06-30,3.847
ext5_top2_cash_blend_ma10,ext5,2,True,blend,ma10,20.0,13.93,0.922,1.416,-20.61,0.676,15.51,2.78,1.2,125,2016-02-29,2026-06-30,3.892
ext5_top3_nocash_roc12_ma6,ext5,3,False,roc12,ma6,20.0,13.94,1.009,1.537,-16.75,0.832,13.95,1.68,0.0,125,2016-02-29,2026-06-30,3.893
ext5_top3_nocash_roc12_noma,ext5,3,False,roc12,noma,20.0,13.94,1.009,1.537,-16.75,0.832,13.95,1.68,0.0,125,2016-02-29,2026-06-30,3.893
ext5_top3_nocash_roc12_ma10,ext5,3,False,roc12,ma10,20.0,13.94,1.009,1.537,-16.75,0.832,13.95,1.68,0.0,125,2016-02-29,2026-06-30,3.893
ext5_top3_nocash_roc6_ma6,ext5,3,False,roc6,ma6,20.0,14.74,1.038,1.91,-19.15,0.769,14.29,2.0,0.0,131,2015-08-31,2026-06-30,4.484
ext5_top3_nocash_roc6_noma,ext5,3,False,roc6,noma,20.0,14.74,1.038,1.91,-19.15,0.769,14.29,2.0,0.0,131,2015-08-31,2026-06-30,4.484
ext5_top3_nocash_roc6_ma10,ext5,3,False,roc6,ma10,20.0,15.47,1.076,1.966,-19.15,0.808,14.39,2.0,0.0,127,2015-12-31,2026-06-30,4.584
