,three_asset,nifty
2018-05-31,6.845195506397318,5.333173537871527
2018-06-30,6.852879959938216,5.330776605944394
2018-07-31,7.061966699918794,5.668744007670185
2018-08-31,7.286173986746754,5.843720038350914
2018-09-30,7.1995113449765045,5.472195589645257
2018-10-31,7.0029610612828215,5.198945349952064
2018-11-30,6.547928817240685,5.441035474592525
2018-12-31,6.465881644950218,5.448226270373925
2019-01-31,6.767755991631859,5.438638542665392
2019-02-28,6.876199407432402,5.433844678811125
2019-03-31,6.936471109400598,5.850910834132315
2019-04-30,7.172561310368238,5.915627996164914
2019-05-31,7.024896280486328,6.004314477468845
2019-06-30,7.274065946421857,5.9587727708533125
2019-07-31,7.2912594084339215,5.635186960690321
2019-08-31,7.534753652043554,5.589645254074789
2019-09-30,7.534755439687114,5.826941514860982
2019-10-31,7.830571789775263,6.016299137104511
2019-11-30,7.948826032598428,6.112176414189841
2019-12-31,8.159926767635818,6.191275167785241
2020-01-31,8.37384710315812,6.096356663470763
2020-02-29,8.108857836290749,5.71860019175456
2020-03-31,7.5003458728320025,4.407478427612659
2020-04-30,8.449550647402358,4.994247363374885
2020-05-31,8.383328310624218,4.860019175455421
2020-06-30,8.899336989744079,5.250239693192718
2020-07-31,9.675751682500021,5.657718120805375
2020-08-31,9.940576117255523,5.802013422818797
2020-09-30,9.624290361825766,5.749280920421866
2020-10-31,9.776202071534021,5.971716203259833
2020-11-30,10.291801397571849,6.6337488015340424
2020-12-31,10.770384275567938,7.1462128475551365
2021-01-31,10.655089418497354,7.00383509108342
2021-02-28,10.693867638413073,7.485618408437209
2021-03-31,10.521302169941382,7.534036433365301
2021-04-30,11.064884984617178,7.526366251198475
2021-05-31,11.337462168273628,7.9956855225311685
2021-06-30,11.55316250353887,8.107861936721006
2021-07-31,11.781955206927398,8.1347075743049
2021-08-31,12.168284880528544,8.847075743048906
2021-09-30,11.998023616208261,9.113614573346126
2021-10-31,12.468197885946196,9.163950143815924
2021-11-30,12.472921536990125,8.80632790028764
2021-12-31,12.570084955610744,9.002396931927144
2022-01-31,12.087685435616496,8.994726749760318
2022-02-28,12.062557952961361,8.717162032598285
2022-03-31,12.73852571364411,9.054170661553224
2022-04-30,12.437378224844576,8.889261744966454
2022-05-31,11.947883825276943,8.622722914669234
2022-06-30,11.316936236626788,8.226270373921391
2022-07-31,12.065198042815716,8.942473633748813
2022-08-31,12.199173300908013,9.296260786193685
2022-09-30,11.654311594713375,8.956375838926188
2022-10-31,11.919184860251798,9.40891658676895
2022-11-30,12.268565529858016,9.813039309683617
2022-12-31,12.124609275673633,9.493767976989465
