symbol,bars_count,avg_turnover_cr,circuit_count,atr_pct,included,exclusion_reason
SOMICONVEY,2009,0.2555,1,0.0685,N,TURNOVER_TOO_LOW
SONAMLTD,1886,0.2629,0,0.0465,N,TURNOVER_TOO_LOW
SPAL,2009,5.5355,2,0.0447,Y,
SPANDANA,1610,6.0681,0,0.03986,Y,
SPCENET,2007,0.4124,0,0.06281,N,TURNOVER_TOO_LOW
SPECIALITY,2009,0.7801,0,0.04728,N,TURNOVER_TOO_LOW
SPECTRUM,1810,0.5319,1,0.05718,N,TURNOVER_TOO_LOW
SPENCERS,1745,0.3314,3,0.05288,N,TURNOVER_TOO_LOW
SREEL,2008,0.1472,0,0.02859,N,TURNOVER_TOO_LOW
STARCEMENT,2008,6.6381,0,0.02693,Y,
STEELCITY,2008,0.0822,0,0.03239,N,TURNOVER_TOO_LOW
STEELXIND,2009,0.9844,1,0.03825,N,TURNOVER_TOO_LOW
STEL,2009,1.0724,4,0.07201,N,TURNOVER_TOO_LOW
SUMEETINDS,2008,0.2765,0,0.06178,N,TURNOVER_TOO_LOW
SUMIT,1825,0.4471,2,0.08113,N,TURNOVER_TOO_LOW
SUNDARAM,2009,0.073,0,0.05596,N,TURNOVER_TOO_LOW
SUPERHOUSE,2008,0.1579,1,0.04615,N,TURNOVER_TOO_LOW
SVLL,1894,0.1008,0,0.06121,N,TURNOVER_TOO_LOW
SWANCORP,2009,40.5876,0,0.03585,Y,
SWSOLAR,1609,41.1105,0,0.04334,Y,
TARACHAND,1950,0.9253,1,0.05803,N,TURNOVER_TOO_LOW
TARAPUR,2006,0.0806,0,0.06142,N,TURNOVER_TOO_LOW
TARIL,2008,232.3795,2,0.06324,N,TURNOVER_TOO_HIGH
TASTYBITE,2008,1.2853,0,0.03175,N,TURNOVER_TOO_LOW
TATACHEM,1959,49.8296,0,0.02301,Y,
TBZ,2009,23.8337,1,0.04707,Y,
TCPLPACK,2008,1.8346,1,0.03578,N,TURNOVER_TOO_LOW
TDPOWERSYS,2009,67.4952,0,0.04328,Y,
TEAMLEASE,2008,16.1349,0,0.03277,Y,
TEJASNET,2009,100.0165,1,0.05068,N,TURNOVER_TOO_HIGH
TEMBO,1844,8.9509,0,0.05365,Y,
TERASOFT,2008,0.9779,0,0.06047,N,TURNOVER_TOO_LOW
TEXMOPIPES,2008,0.1635,0,0.03822,N,TURNOVER_TOO_LOW
THANGAMAYL,2009,59.715,0,0.05497,Y,
THEINVEST,2008,0.2273,0,0.06186,N,TURNOVER_TOO_LOW
THEJO,2007,1.6902,0,0.03973,N,TURNOVER_TOO_LOW
THOMASCOTT,2008,0.6964,0,0.05244,N,TURNOVER_TOO_LOW
TI,2009,26.8655,0,0.03659,Y,
TIJARIA,2009,0.0711,2,0.1,N,TURNOVER_TOO_LOW
TIRUPATIFL,2008,1.7117,1,0.06024,N,TURNOVER_TOO_LOW
TOTAL,2006,0.2381,2,0.06148,N,TURNOVER_TOO_LOW
TOUCHWOOD,2008,0.0404,0,0.04931,N,TURNOVER_TOO_LOW
TPLPLASTEH,2009,0.6234,0,0.04066,N,TURNOVER_TOO_LOW
TREEHOUSE,2009,0.0458,1,0.09715,N,TURNOVER_TOO_LOW
TRF,2009,0.4891,0,0.0434,N,TURNOVER_TOO_LOW
TTKHLTCARE,2009,0.4734,0,0.02645,N,TURNOVER_TOO_LOW
TVTODAY,1959,0.6585,0,0.02499,N,TURNOVER_TOO_LOW
UEL,2009,0.089,1,0.02169,N,TURNOVER_TOO_LOW
UFO,2008,1.0555,0,0.04493,N,TURNOVER_TOO_LOW
UGARSUGAR,2009,0.51,0,0.03132,N,TURNOVER_TOO_LOW
UJJIVANSFB,1533,88.1447,0,0.03744,Y,
UNIINFO,1958,0.0062,0,0.06408,N,TURNOVER_TOO_LOW
UNITEDTEA,2008,0.1223,0,0.02081,N,TURNOVER_TOO_LOW
UNIVASTU,1887,0.3093,1,0.05397,N,TURNOVER_TOO_LOW
URAVIDEF,1938,0.1758,0,0.05562,N,TURNOVER_TOO_LOW
URJA,2009,1.3662,0,0.03516,N,TURNOVER_TOO_LOW
VADILALIND,2008,6.122,0,0.03137,Y,
VAISHALI,2007,0.222,1,0.06284,N,TURNOVER_TOO_LOW
VARROC,1880,12.2035,0,0.03582,Y,
VASCONEQ,2009,5.4363,0,0.04763,Y,
VASWANI,2008,0.6543,1,0.05826,N,TURNOVER_TOO_LOW
VERTOZ,2009,1.5366,0,0.04935,N,TURNOVER_TOO_LOW
VETO,2009,0.2998,0,0.03595,N,TURNOVER_TOO_LOW
VIDHIING,2008,0.5088,0,0.04215,N,TURNOVER_TOO_LOW
VIJIFIN,2008,0.1411,1,0.06933,N,TURNOVER_TOO_LOW
VIKASECO,2009,0.4241,1,0.04312,N,TURNOVER_TOO_LOW
VIKASLIFE,1680,0.5999,1,0.04017,N,TURNOVER_TOO_LOW
VINNY,1805,0.0846,2,0.0528,N,TURNOVER_TOO_LOW
VISHNU,2009,5.4791,0,0.03563,Y,
VISHWARAJ,1572,0.2139,0,0.04334,N,TURNOVER_TOO_LOW
VIVIDHA,2008,0.0229,0,0.04795,N,TURNOVER_TOO_LOW
VSSL,2009,1.1509,0,0.03471,N,TURNOVER_TOO_LOW
VSTTILLERS,2008,10.7991,0,0.03318,Y,
WABAG,2009,40.3553,0,0.03733,Y,
WEALTH,2007,0.3596,1,0.04347,N,TURNOVER_TOO_LOW
WEL,1606,3.7343,1,0.049,N,TURNOVER_TOO_LOW
WESTLIFE,1609,19.8711,1,0.0414,Y,
WEWIN,1878,0.0152,0,0.0515,N,TURNOVER_TOO_LOW
WIPL,2007,0.0706,0,0.06052,N,TURNOVER_TOO_LOW
WONDERLA,2008,4.2643,0,0.02681,N,TURNOVER_TOO_LOW
WORTHPERI,2007,0.1612,0,0.04361,N,TURNOVER_TOO_LOW
XELPMOC,1738,0.2496,0,0.05457,N,TURNOVER_TOO_LOW
ZEELEARN,2008,0.2996,1,0.05768,N,TURNOVER_TOO_LOW
ZENTEC,1954,69.9671,0,0.03394,Y,
ZFCVINDIA,1959,19.1214,0,0.02426,Y,
ZODIAC,1578,0.6543,0,0.05576,N,TURNOVER_TOO_LOW
ZOTA,2007,9.6958,1,0.04093,Y,
ZUARI,2009,17.5317,1,0.05074,Y,
